,Unnamed: 0,pin average impedances 10044,cartridge_to_cartridge_pin_variation 10044,pin average impedances 00000004,cartridge_to_cartridge_pin_variation 00000004,pin average impedances 10045,cartridge_to_cartridge_pin_variation 10045,pin average impedances 47,cartridge_to_cartridge_pin_variation 47,Lower Bound 10044,Lower Bound 00000004,Lower Bound 10045,Lower Bound 47,Average Trial 6391.csv,Lower Bounds Failure 6391.csv,Z score 6391.csv,Failed Pins 6391.csv,Average Trial 6407.csv,Lower Bounds Failure 6407.csv,Z score 6407.csv,Failed Pins 6407.csv,Average Trial 6530.csv,Lower Bounds Failure 6530.csv,Z score 6530.csv,Failed Pins 6530.csv,Average Trial 6387.csv,Lower Bounds Failure 6387.csv,Z score 6387.csv,Failed Pins 6387.csv,Average Trial 6450.csv,Lower Bounds Failure 6450.csv,Z score 6450.csv,Failed Pins 6450.csv,Average Trial 6419.csv,Lower Bounds Failure 6419.csv,Z score 6419.csv,Failed Pins 6419.csv,Average Trial 6432.csv,Lower Bounds Failure 6432.csv,Z score 6432.csv,Failed Pins 6432.csv,Average Trial 6434.csv,Lower Bounds Failure 6434.csv,Z score 6434.csv,Failed Pins 6434.csv,Average Trial 6441.csv,Lower Bounds Failure 6441.csv,Z score 6441.csv,Failed Pins 6441.csv,Average Trial 6463.csv,Lower Bounds Failure 6463.csv,Z score 6463.csv,Failed Pins 6463.csv,Average Trial 6504.csv,Lower Bounds Failure 6504.csv,Z score 6504.csv,Failed Pins 6504.csv,Average Trial 6511.csv,Lower Bounds Failure 6511.csv,Z score 6511.csv,Failed Pins 6511.csv,Average Trial results (36).csv,Lower Bounds Failure results (36).csv,Z score results (36).csv,Failed Pins results (36).csv,Average Trial results (38).csv,Lower Bounds Failure results (38).csv,Z score results (38).csv,Failed Pins results (38).csv,Average Trial results (39).csv,Lower Bounds Failure results (39).csv,Z score results (39).csv,Failed Pins results (39).csv,Average Trial results (40).csv,Lower Bounds Failure results (40).csv,Z score results (40).csv,Failed Pins results (40).csv,Average Trial results (42).csv,Lower Bounds Failure results (42).csv,Z score results (42).csv,Failed Pins results (42).csv,Average Trial results (43).csv,Lower Bounds Failure results (43).csv,Z score results (43).csv,Failed Pins results (43).csv,Average Trial results (45).csv,Lower Bounds Failure results (45).csv,Z score results (45).csv,Failed Pins results (45).csv,Average Trial results (51).csv,Lower Bounds Failure results (51).csv,Z score results (51).csv,Failed Pins results (51).csv,Average Trial results (54).csv,Lower Bounds Failure results (54).csv,Z score results (54).csv,Failed Pins results (54).csv,Average Trial results (59).csv,Lower Bounds Failure results (59).csv,Z score results (59).csv,Failed Pins results (59).csv,Average Trial results (63).csv,Lower Bounds Failure results (63).csv,Z score results (63).csv,Failed Pins results (63).csv,Average Trial results (66).csv,Lower Bounds Failure results (66).csv,Z score results (66).csv,Failed Pins results (66).csv,Average Trial results (67).csv,Lower Bounds Failure results (67).csv,Z score results (67).csv,Failed Pins results (67).csv,Average Trial results (68).csv,Lower Bounds Failure results (68).csv,Z score results (68).csv,Failed Pins results (68).csv,Average Trial results (35).csv,Lower Bounds Failure results (35).csv,Z score results (35).csv,Failed Pins results (35).csv,Average Trial results (37).csv,Lower Bounds Failure results (37).csv,Z score results (37).csv,Failed Pins results (37).csv,Average Trial results (41).csv,Lower Bounds Failure results (41).csv,Z score results (41).csv,Failed Pins results (41).csv,Average Trial results (49).csv,Lower Bounds Failure results (49).csv,Z score results (49).csv,Failed Pins results (49).csv,Average Trial results (52).csv,Lower Bounds Failure results (52).csv,Z score results (52).csv,Failed Pins results (52).csv,Average Trial results (53).csv,Lower Bounds Failure results (53).csv,Z score results (53).csv,Failed Pins results (53).csv,Average Trial results (56).csv,Lower Bounds Failure results (56).csv,Z score results (56).csv,Failed Pins results (56).csv,Average Trial results (57).csv,Lower Bounds Failure results (57).csv,Z score results (57).csv,Failed Pins results (57).csv,Average Trial results (60).csv,Lower Bounds Failure results (60).csv,Z score results (60).csv,Failed Pins results (60).csv,Average Trial results (64).csv,Lower Bounds Failure results (64).csv,Z score results (64).csv,Failed Pins results (64).csv,Average Trial results (65).csv,Lower Bounds Failure results (65).csv,Z score results (65).csv,Failed Pins results (65).csv,Average Trial results (69).csv,Lower Bounds Failure results (69).csv,Z score results (69).csv,Failed Pins results (69).csv,Average Trial results (55).csv,Lower Bounds Failure results (55).csv,Z score results (55).csv,Failed Pins results (55).csv,Average Trial results (58).csv,Lower Bounds Failure results (58).csv,Z score results (58).csv,Failed Pins results (58).csv,Average Trial results (61).csv,Lower Bounds Failure results (61).csv,Z score results (61).csv,Failed Pins results (61).csv,Average Trial results (62).csv,Lower Bounds Failure results (62).csv,Z score results (62).csv,Failed Pins results (62).csv,Average Trial results (44).csv,Lower Bounds Failure results (44).csv,Z score results (44).csv,Failed Pins results (44).csv,Average Trial results (46).csv,Lower Bounds Failure results (46).csv,Z score results (46).csv,Failed Pins results (46).csv,Average Trial results (47).csv,Lower Bounds Failure results (47).csv,Z score results (47).csv,Failed Pins results (47).csv,Average Trial results (48).csv,Lower Bounds Failure results (48).csv,Z score results (48).csv,Failed Pins results (48).csv,Average Trial results (50).csv,Lower Bounds Failure results (50).csv,Z score results (50).csv,Failed Pins results (50).csv
0,0,1579.332909,415.3735426,1882.881722,44.17232623,1658.187572,41.5824622,1812.016312,21.01140466,-2574.402517,1441.158459,1242.36295,1601.902265,7496.222839,FALSE,127.0782319,32,1905.869659,FALSE,0.520414927,,1863.008057,FALSE,-0.449912118,,1714.159958,FALSE,0.324592288,,1674.655563,FALSE,0.229486581,,1681.531357,FALSE,0.561385332,26,1686.554138,FALSE,0.682176192,17,1797.273987,FALSE,3.344833542,50,1645.655502,FALSE,-0.301378742,28,1687.626266,FALSE,0.707959376,27,1644.998764,FALSE,-0.317172379,62,1806.251511,FALSE,-0.274365338,,1721.914032,FALSE,0.343260001,,1543.527744,FALSE,-0.086199917,,1709.874298,FALSE,0.314274684,,1681.730896,FALSE,0.246520243,,1728.108078,FALSE,0.358171991,,1660.134033,FALSE,0.19452641,,1737.910248,FALSE,0.381770436,,1704.236343,FALSE,0.300701468,,1703.635574,FALSE,0.299255134,,1704.653214,FALSE,0.301705071,,90.69107437,FALSE,-3.583862914,,1709.50943,FALSE,0.313396274,,1708.245026,FALSE,0.310352257,,1706.490738,FALSE,0.306128859,,2021.951263,FALSE,3.148340914,,1864.906143,FALSE,-0.40694208,,1899.109695,FALSE,0.367378749,,1855.104568,FALSE,-0.628836092,,1854.883255,FALSE,-0.633846322,,1852.534607,FALSE,-0.687016446,,1874.495682,FALSE,-0.189848271,,1872.463074,FALSE,-0.235863688,,1867.97699,FALSE,-0.337422387,,1879.94458,FALSE,-0.066492795,,1859.864471,FALSE,-0.521078513,,1891.346329,FALSE,0.191626929,,1726.910202,FALSE,1.652683028,,1616.260712,FALSE,-1.008282304,,1650.983902,FALSE,-0.17323819,,1638.595474,FALSE,-0.471162533,,1851.768784,FALSE,1.891947376,,1802.519104,FALSE,-0.45200251,,1806.251511,FALSE,-0.274365333,,1809.866013,FALSE,-0.102339616,,1789.676147,FALSE,-1.063239919,
1,1,767.5104846,189.608104,1130.215369,15.61707566,798.1973553,8.030074787,913.6190826,7.826420572,-1128.570555,974.0446123,717.8966074,835.3548769,1672.147324,FALSE,34.70124411,39,1139.672058,FALSE,0.60553521,,1119.306534,FALSE,-0.698519706,,811.7994385,FALSE,0.233581545,,803.6218033,FALSE,0.190452401,,928.5258026,FALSE,16.23004154,41,821.4074173,FALSE,2.890391764,37,803.1601486,FALSE,0.618025795,,798.0033951,FALSE,-0.02415422,,819.0181732,FALSE,2.592854799,,1014.342873,FALSE,26.91699929,,914.6475601,FALSE,0.131410964,,821.7493362,FALSE,0.286057666,,817.4431,FALSE,0.26334642,,824.2663956,FALSE,0.299332728,,788.267868,FALSE,0.109475191,,812.7114639,FALSE,0.2383916,,834.5668793,FALSE,0.353657851,,837.4559784,FALSE,0.368895065,,809.3734512,FALSE,0.2207868,,819.9000702,FALSE,0.27630457,,825.4890442,FALSE,0.305781021,,85.14487743,FALSE,-3.598820899,,820.7404404,FALSE,0.280736712,,817.0680389,FALSE,0.261368334,,830.969841,FALSE,0.334686941,,1127.496063,FALSE,-0.174123872,,1118.440948,FALSE,-0.753945276,,1154.220062,FALSE,1.537079916,,1109.646225,FALSE,-1.317093186,,1117.126633,FALSE,-0.838104169,,1162.400543,FALSE,2.060896355,,1126.503815,FALSE,-0.237660001,,1136.866913,FALSE,0.425914818,,1119.57785,FALSE,-0.681146637,,1131.058807,FALSE,0.054007452,,1115.453217,FALSE,-0.945257145,,1143.79335,FALSE,0.869431743,,795.8727493,FALSE,-0.289487458,,811.0619202,FALSE,1.602047956,,788.9598694,FALSE,-1.150361127,,796.8948822,FALSE,-0.16219937,,928.3606644,FALSE,1.88356626,,908.1091232,FALSE,-0.704020358,,914.6475601,FALSE,0.131410965,,910.0539322,FALSE,-0.455527584,,906.9241333,FALSE,-0.855429283,
2,2,1315.709536,327.2136773,1647.287104,12.84666555,1385.981972,7.804785057,1529.576566,12.25891401,-1956.427237,1518.820449,1307.934121,1406.987426,4664.23822,FALSE,234.8431275,,1637.851868,FALSE,-0.734450241,,1643.18486,FALSE,-0.319323644,,1394.722412,FALSE,0.2414718,,1376.420334,FALSE,0.185538691,,1410.092499,FALSE,3.089198084,76,1408.448715,FALSE,2.878585804,50,1390.566269,FALSE,0.587370075,,1497.187332,FALSE,14.24835657,,1400.76738,FALSE,1.894402974,,1377.274368,FALSE,-1.115674985,,1533.153855,FALSE,0.291811244,,1402.989105,FALSE,0.266735699,,1404.651596,FALSE,0.271816448,,1412.246643,FALSE,0.295027724,,1383.913162,FALSE,0.208437576,,1397.582901,FALSE,0.25021376,,1470.613464,FALSE,0.473402974,,1422.793274,FALSE,0.327259357,,1379.642776,FALSE,0.195386821,,1388.806808,FALSE,0.223393083,,1401.329681,FALSE,0.261664322,,138.3894882,FALSE,-3.598016005,,1399.088257,FALSE,0.254814289,,1401.291473,FALSE,0.261547554,,1416.594879,FALSE,0.308316399,,1654.50264,FALSE,0.561666018,,1645.614212,FALSE,-0.130219958,,1670.212479,FALSE,1.784538895,,1636.225952,FALSE,-0.861013475,,1635.724884,FALSE,-0.900017223,,1634.842407,FALSE,-0.968710286,,1628.497925,FALSE,-1.462572479,,1653.996628,FALSE,0.522277434,,1646.822647,FALSE,-0.03615391,,1667.962814,FALSE,1.609422302,,1637.516403,FALSE,-0.760563202,,1655.52626,FALSE,0.641345885,,1390.112396,FALSE,0.529216945,,1396.495575,FALSE,1.347071461,,1380.762177,FALSE,-0.668794232,,1376.557739,FALSE,-1.207494174,,1550.986084,FALSE,1.746444948,,1517.702835,FALSE,-0.96857931,,1533.153854,FALSE,0.291811234,,1528.181351,FALSE,-0.113812271,,1517.858704,FALSE,-0.9558646,
3,3,1939.146161,2.843216448,2369.73745,2.861138502,1995.415771,61.60683996,2050.584329,1.295176921,1910.713996,2341.126065,1379.347372,2037.63256,2396.185181,FALSE,9.243778654,,2368.719452,FALSE,-0.355801631,,2368.225189,FALSE,-0.528551987,,1943.438278,FALSE,1.509599289,,1942.742447,FALSE,1.264865442,,1957.267563,FALSE,-0.619220344,,1959.00412,FALSE,-0.591032613,,1958.565628,FALSE,-0.598150196,,1956.412918,FALSE,-0.633092907,,1965.921906,FALSE,-0.478743366,,1961.280823,FALSE,-0.554077254,,2052.197861,FALSE,1.245800094,,1939.938126,FALSE,0.278545427,,1939.855835,FALSE,0.249602626,,1940.675781,FALSE,0.537989495,,1936.887589,FALSE,-0.794372223,,1936.327118,FALSE,-0.991497764,,1936.738495,FALSE,-0.84681059,,1937.868652,FALSE,-0.449317999,,1943.831024,FALSE,1.64773368,,1940.846405,FALSE,0.598000325,,1942.897079,FALSE,1.319251935,,1932.264389,FALSE,-2.420417776,,1939.192108,FALSE,0.016160389,,1940.33049,FALSE,0.41654565,,1940.393158,FALSE,0.43858683,,2362.887848,FALSE,-2.394012644,,2366.189423,FALSE,-1.240075249,,2368.441467,FALSE,-0.452960373,,2369.618408,FALSE,-0.041606321,,2370.669556,FALSE,0.325781508,,2368.739594,FALSE,-0.348761915,,2371.572601,FALSE,0.641406093,,2372.25592,FALSE,0.88023378,,2374.122772,FALSE,1.532719428,,2370.368317,FALSE,0.220495093,,2372.150085,FALSE,0.843243274,,2369.833405,FALSE,0.033537311,,1961.496811,FALSE,-0.550571342,,1956.725693,FALSE,-0.62801596,,1961.370605,FALSE,-0.552619904,,2102.069977,FALSE,1.731207207,,2049.598053,FALSE,-0.761499241,,2049.990921,FALSE,-0.458167675,,2052.197861,FALSE,1.245800068,,2049.074341,FALSE,-1.165854931,,2052.060471,FALSE,1.139721791,
4,4,1651.298257,13.28079079,1821.973015,19.89801069,1253.407386,621.172874,1756.502014,26.30001473,1518.490349,1622.992908,-4958.321353,1493.501867,7399.065552,FALSE,280.2839251,,1852.030045,FALSE,1.510554507,,1812.047623,FALSE,-0.498813289,,1647.548157,FALSE,-0.282370254,,1614.006393,FALSE,-2.80795505,,1624.398224,FALSE,0.597242496,,1653.687988,FALSE,0.644394852,,1609.512405,FALSE,0.573278445,,1588.819138,FALSE,0.539965226,,1636.3918,FALSE,0.616550448,,1594.882874,FALSE,0.549726979,,1748.693009,FALSE,-0.296920201,,1658.949005,FALSE,0.576076247,,1648.556412,FALSE,-0.206451958,,1652.206162,FALSE,0.068362231,,1627.560944,FALSE,-1.787341867,,1676.219025,FALSE,1.87645209,,1649.412048,FALSE,-0.142025328,,1675.162247,FALSE,1.796880176,,1656.452683,FALSE,0.388111338,,1637.777008,FALSE,-1.018105711,,1643.019897,FALSE,-0.62333333,,1647.162933,FALSE,-0.311376312,,1649.916718,FALSE,-0.104025393,,1660.632339,FALSE,0.702825804,,1635.148178,FALSE,-1.216047987,,1878.711761,FALSE,2.851478348,,1808.968033,FALSE,-0.653582019,,1835.241516,FALSE,0.666825518,,1803.468018,FALSE,-0.929992326,,1801.503876,FALSE,-1.028702789,,1804.562805,FALSE,-0.874972374,,1829.447723,FALSE,0.375651047,,1820.845917,FALSE,-0.056643757,,1819.501404,FALSE,-0.124213976,,1821.825455,FALSE,-0.007415823,,1814.827499,FALSE,-0.359107026,,1824.772171,FALSE,0.140675178,,178.083662,FALSE,-1.731118291,,1644.889191,FALSE,0.630230039,,1598.789307,FALSE,0.556015781,,1591.867386,FALSE,0.544872472,,1806.331375,FALSE,1.894651447,,1735.82106,FALSE,-0.78634762,,1748.693008,FALSE,-0.296920204,,1757.214783,FALSE,0.027101451,,1734.449844,FALSE,-0.838485074,
5,5,649.8128858,4.603646713,984.4665457,7.212373047,652.2559643,12.02761051,755.4412308,15.49526992,603.7764187,912.3428153,531.9798592,600.4885316,1546.004288,FALSE,77.8575565,,984.8989105,FALSE,0.059947645,,973.3198166,FALSE,-1.545500916,,656.0263367,FALSE,1.349680205,,648.8104095,FALSE,-0.217756997,,657.2443008,FALSE,0.414740447,,662.772789,FALSE,0.874390197,,644.1741791,FALSE,-0.671936059,,649.4195633,FALSE,-0.235824147,,650.2193298,FALSE,-0.16932993,,637.4391632,FALSE,-1.231898976,,750.4792862,FALSE,-0.320223179,,643.8370972,FALSE,-1.29805544,,651.8341751,FALSE,0.43906264,,652.9674072,FALSE,0.685222302,,645.3384628,FALSE,-0.971930141,,648.8647614,FALSE,-0.205950746,,651.3053589,FALSE,0.324193656,,659.0891037,FALSE,2.014971706,,640.4661026,FALSE,-2.030299849,,650.7796707,FALSE,0.210004144,,649.6855164,FALSE,-0.027667082,,649.4208755,FALSE,-0.085152121,,646.1442413,FALSE,-0.796899659,,652.4697189,FALSE,0.577114898,,655.1779099,FALSE,1.165385695,,992.4960175,FALSE,1.113291238,,976.8216171,FALSE,-1.059974098,,996.3334274,FALSE,1.645350512,,972.4442978,FALSE,-1.666892141,,981.0385971,FALSE,-0.475287206,,981.5698776,FALSE,-0.401624832,,983.041687,FALSE,-0.197557547,,979.0956345,FALSE,-0.744680183,,993.2830505,FALSE,1.222413863,,990.1090164,FALSE,0.782332062,,978.480278,FALSE,-0.829999736,,988.8850479,FALSE,0.612628069,,654.5088806,FALSE,0.187312046,,670.9889984,FALSE,1.557502558,,640.6570053,FALSE,-0.964361039,,642.8689728,FALSE,-0.780453565,,785.9045486,FALSE,1.965975297,,742.6617584,FALSE,-0.824733769,,750.4792862,FALSE,-0.320223178,,750.4300995,FALSE,-0.323397483,,747.7304611,FALSE,-0.497620867,
6,6,605.0299181,6.399802235,913.0759538,8.066144166,632.4118252,32.03579745,704.0659866,15.24774407,541.0318958,832.4145121,312.0538507,551.588546,1212.918045,FALSE,37.17291497,,911.6463699,FALSE,-0.177232621,,902.3399353,FALSE,-1.330997597,,608.7949677,FALSE,0.588307167,,608.8336487,FALSE,0.594351265,,623.108963,FALSE,-0.290389593,,633.5241089,FALSE,0.034720026,,605.6927643,FALSE,-0.83403764,,611.4837112,FALSE,-0.653272764,,619.4234772,FALSE,-0.40543233,,594.5071716,FALSE,-1.183196816,,693.8824844,FALSE,-0.667869434,,597.7464294,FALSE,-1.138080274,,606.0236359,FALSE,0.155273195,,613.9770126,FALSE,1.398026717,,597.5330582,FALSE,-1.171420566,,609.6853561,FALSE,0.727434668,,606.9496384,FALSE,0.299965557,,615.660141,FALSE,1.66102365,,603.6447906,FALSE,-0.216432856,,596.1817627,FALSE,-1.382567008,,609.3432388,FALSE,0.673977186,,598.761734,FALSE,-0.979434034,,596.6315689,FALSE,-1.312282616,,608.061058,FALSE,0.473630248,,610.219429,FALSE,0.810886134,,925.4532089,FALSE,1.534469862,,909.876709,FALSE,-0.396626288,,929.2797089,FALSE,2.008860086,,902.9368744,FALSE,-1.25699209,,911.5278778,FALSE,-0.191922679,,903.0116119,FALSE,-1.247726504,,911.1591568,FALSE,-0.237634855,,907.1772232,FALSE,-0.731294963,,910.8015213,FALSE,-0.281972706,,918.3162155,FALSE,0.649661301,,907.5040665,FALSE,-0.690774578,,919.8672714,FALSE,0.841953414,,681.7579575,FALSE,1.540343497,,638.3815765,FALSE,0.18634627,,597.5231476,FALSE,-1.089052884,,611.9846191,FALSE,-0.637636883,,734.0572968,FALSE,1.966934255,,693.1790771,FALSE,-0.714001326,,693.8824844,FALSE,-0.667869434,,700.3019867,FALSE,-0.246856186,,698.9090881,FALSE,-0.33820731,
7,7,659.3328705,40.19295136,957.0275345,7.52192615,667.1565742,18.39971011,755.934285,18.06739391,257.4033568,881.808273,483.1594731,575.2603459,1171.204788,FALSE,28.47372461,,955.2000885,FALSE,-0.242949206,,947.2492294,FALSE,-1.299973552,,654.4787445,FALSE,-0.120770578,,652.3113709,FALSE,-0.174694801,,662.5161514,FALSE,-0.252200866,,682.0548706,FALSE,0.809702776,,650.9336624,FALSE,-0.881693882,,652.0623398,FALSE,-0.820351754,,650.4649429,FALSE,-0.907168168,,640.0996399,FALSE,-1.47050873,,745.5119934,FALSE,-0.576856387,,642.4902344,FALSE,-0.419044522,,649.0810013,FALSE,-0.255066345,,651.4305191,FALSE,-0.196610378,,646.3244781,FALSE,-0.323648597,,653.2996445,FALSE,-0.150106569,,644.5763321,FALSE,-0.367142444,,654.4949036,FALSE,-0.120368541,,646.5779953,FALSE,-0.317341095,,645.8234634,FALSE,-0.336113835,,651.1795502,FALSE,-0.202854482,,650.5839844,FALSE,-0.217672149,,641.8018646,FALSE,-0.436171151,,649.3594666,FALSE,-0.248138133,,803.6367493,FALSE,3.590278242,,969.5810013,FALSE,1.668916518,,948.4156342,FALSE,-1.144906259,,970.1799316,FALSE,1.748541117,,947.2775421,FALSE,-1.296209531,,951.2417755,FALSE,-0.769185825,,951.7277145,FALSE,-0.704582821,,960.8973007,FALSE,0.5144648,,950.0556412,FALSE,-0.926876065,,960.5164185,FALSE,0.463828533,,962.1529236,FALSE,0.681393169,,953.4969482,FALSE,-0.469372628,,958.7875824,FALSE,0.233988991,,687.6219025,FALSE,1.112263622,,682.116272,FALSE,0.813039859,,642.9591217,FALSE,-1.315099662,,655.9290009,FALSE,-0.61020382,,791.7762985,FALSE,1.983795435,,744.1231537,FALSE,-0.65372634,,745.5119934,FALSE,-0.576856387,,750.9711609,FALSE,-0.274700608,,747.2888184,FALSE,-0.478512101,
8,8,1573.725646,14.03294142,1853.126906,34.03126692,1598.892742,20.03439989,1728.174475,24.25763514,1433.396232,1512.814237,1398.548743,1485.598124,6624.4422,FALSE,140.2038691,,1830.774277,FALSE,-0.656826247,,1838.02417,FALSE,-0.443790006,,1582.198151,FALSE,0.603758293,,1568.186707,FALSE,-0.394709788,,1612.979004,FALSE,0.703103753,,182.0610085,TRUE,-70.71994878,,1569.949677,FALSE,-1.444668461,,1582.739166,FALSE,-0.806291977,,1563.700653,FALSE,-1.756583141,,1561.171982,FALSE,-1.882799613,,1712.177383,FALSE,-0.659466252,,1582.39122,FALSE,0.617516596,,1563.6203,FALSE,-0.720115996,,1596.722763,FALSE,1.638795211,,1576.420334,FALSE,0.192025884,,1607.955307,FALSE,2.439236373,,1568.184341,FALSE,-0.394878328,,1580.560852,FALSE,0.487082926,,1556.072723,FALSE,-1.257963101,,1564.066498,FALSE,-0.688319561,,1560.686188,FALSE,-0.92920349,,1575.356476,FALSE,0.116214406,,1563.280136,FALSE,-0.744356401,,1573.495071,FALSE,-0.016430944,,1563.346832,FALSE,-0.739603573,,1851.523865,FALSE,-0.047104956,,1845.906097,FALSE,-0.2121816,,1886.555435,FALSE,0.982288705,,1829.3396,FALSE,-0.698983865,,1836.486145,FALSE,-0.488984471,,1841.123199,FALSE,-0.352725823,,1852.133224,FALSE,-0.029199077,,1831.687393,FALSE,-0.629994556,,1954.53183,FALSE,2.979757527,,1841.16156,FALSE,-0.351598606,,1827.047546,FALSE,-0.766335257,,1840.026978,FALSE,-0.384938021,,1619.165497,FALSE,1.011897276,,1618.327164,FALSE,0.970052592,,1575.264404,FALSE,-1.179388352,,1582.813904,FALSE,-0.802561516,,1772.224167,FALSE,1.815910393,,1717.180969,FALSE,-0.453197758,,1712.177383,FALSE,-0.65946625,,1704.160767,FALSE,-0.989944335,,1735.129089,FALSE,0.286697949,
9,9,1643.007705,48.16738619,1905.935095,24.31137272,1650.904419,61.79352173,1771.901743,26.23014768,1161.333843,1662.821368,1032.969202,1509.600266,7507.45166,FALSE,230.4072514,,1944.689941,FALSE,1.594103566,,1886.259537,FALSE,-0.809315005,,1650.63356,FALSE,0.158319896,,1613.035385,FALSE,-0.622253393,,1628.036194,FALSE,-0.370074798,,1666.75885,FALSE,0.256571089,,1609.454788,FALSE,-0.670776314,,1587.851303,FALSE,-1.020383919,,1642.085541,FALSE,-0.142715254,,1593.272903,FALSE,-0.932646561,,1765.208969,FALSE,-0.255155766,,1665.815277,FALSE,0.473506543,,1649.840179,FALSE,0.14184857,,1655.269394,FALSE,0.254564142,,1625.41394,FALSE,-0.365263004,,1687.296082,FALSE,0.919468139,,1659.931854,FALSE,0.35136118,,1677.424942,FALSE,0.714534048,,1669.586334,FALSE,0.551797217,,1635.811737,FALSE,-0.149395018,,1645.696915,FALSE,0.055830517,,1643.399536,FALSE,0.008134789,,1649.590393,FALSE,0.136662771,,1658.279526,FALSE,0.317057295,,1478.751755,FALSE,-3.410107187,,1968.844315,FALSE,2.587645702,,1893.998062,FALSE,-0.491006142,,1926.343964,FALSE,0.839478231,,1872.374008,FALSE,-1.380468626,,1884.479614,FALSE,-0.882528579,,1885.366364,FALSE,-0.84605391,,1922.828781,FALSE,0.694888185,,1905.009048,FALSE,-0.038091103,,1892.072189,FALSE,-0.570223093,,1908.792297,FALSE,0.117525321,,1899.259918,FALSE,-0.27457015,,1911.852585,FALSE,0.243404165,,1749.987457,FALSE,1.603453494,,1656.025131,FALSE,0.082868109,,1599.464478,FALSE,-0.832448774,,1598.14061,FALSE,-0.853872829,,1823.882721,FALSE,1.981726486,,1755.022278,FALSE,-0.643513903,,1765.208969,FALSE,-0.255155766,,1759.25354,FALSE,-0.482200965,,1756.141205,FALSE,-0.600855851,
