,Unnamed: 0,pin average impedances 10044,cartridge_to_cartridge_pin_variation 10044,pin average impedances 00000004,cartridge_to_cartridge_pin_variation 00000004,pin average impedances 10045,cartridge_to_cartridge_pin_variation 10045,pin average impedances 47,cartridge_to_cartridge_pin_variation 47,Lower Bound 10044,Lower Bound 00000004,Lower Bound 10045,Lower Bound 47
0,0,1579.33290918,415.373542588,1882.8817215,44.1723262275,1658.18757248,41.5824622022,1812.01631165,21.0114046642,-2574.4025167,1441.15845922,1242.36295046,1601.90226501
1,1,767.510484627,189.608103988,1130.21536891,15.6170756569,798.19735527,8.03007478669,913.619082642,7.82642057198,-1128.57055525,974.044612341,717.896607403,835.354876922
2,2,1315.70953642,327.213677348,1647.28710429,12.8466655514,1385.98197174,7.80478505681,1529.57656555,12.2589140053,-1956.42723706,1518.82044878,1307.93412117,1406.9874255
3,3,1939.14616067,2.84321644787,2369.73744965,2.86113850209,1995.41577148,61.6068399621,2050.58432922,1.29517692144,1910.71399619,2341.12606463,1379.34737186,2037.63256001
4,4,1651.29825701,13.2807907939,1821.97301483,19.8980106877,1253.4073863,621.172873951,1756.50201416,26.3000147295,1518.49034907,1622.99290795,-4958.32135321,1493.50186687
5,5,649.812885829,4.60364671323,984.466545741,7.21237304689,652.255964279,12.0276105118,755.441230774,15.4952699152,603.776418697,912.342815272,531.979859161,600.488531622
6,6,605.029918126,6.39980223547,913.075953802,8.06614416599,632.41182518,32.0357974506,704.065986633,15.2477440659,541.031895771,832.414512142,312.053850674,551.588545974
7,7,659.332870483,40.1929513643,957.027534485,7.5219261504,667.156574249,18.3997101132,755.934284973,18.0673939055,257.40335684,881.808272981,483.159473117,575.260345918
8,8,1573.72564588,14.0329414154,1853.12690608,34.0312669227,1598.89274216,20.0343998864,1728.1744751,24.2576351428,1433.39623173,1512.81423685,1398.5487433,1485.59812367
9,9,1643.0077046,48.1673861912,1905.93509547,24.3113727158,1650.90441895,61.7935217337,1771.90174255,26.2301476799,1161.33384269,1662.82136831,1032.96920161,1509.60026575
10,10,1887.2483684,38.3064846597,2085.54279327,37.6198581401,1895.59331894,24.8487622629,1970.62871094,55.4507472977,1504.1835218,1709.34421187,1647.10569631,1416.12123796
11,11,1723.55013275,53.2734003534,1959.70079803,43.1733507518,1731.73524475,35.8539413127,1815.33065491,60.4072815047,1190.81612922,1527.96729051,1373.19583162,1211.25783986
12,12,620.55475453,11.0573174423,951.506002426,8.62308985536,641.153358459,17.9319812133,726.965177918,12.627032648,509.981580107,865.275103872,461.833546326,600.694851438
13,13,1067.66135624,13.8658904494,1347.89660772,12.9904785429,1116.58961868,27.1373443284,1221.65413818,27.6392088672,929.002451746,1217.99182229,845.216175396,945.262049508
14,14,561.209824698,14.3050903004,898.683584213,12.611336165,616.254901886,33.1446397948,680.881681824,24.709093523,418.158921694,772.570222563,284.808503938,433.790746594
15,15,600.158848899,15.3554413755,931.30588913,12.6965302285,657.743659973,34.0205530663,728.146626282,29.4334733317,446.604435144,804.340586845,317.53812931,433.811892965
16,16,1184.21572658,10.3399748631,1431.21836344,13.7348606977,1189.41902542,15.2003138745,1298.22023926,14.8146274423,1080.81597795,1293.86975646,1037.41588667,1150.07396484
17,17,658.495010921,14.0625773972,989.738562902,13.103635468,699.023351669,27.7534751391,780.898908997,21.1951735273,517.869236949,858.702208222,421.488600278,568.947173724
18,18,1055.56783731,10.5821006749,1357.23790995,13.3258061592,1078.94181442,14.8459864634,1186.57667847,15.9069772528,949.746830561,1223.97984836,930.481949786,1027.50690594
19,19,866.503876822,10.8636629093,1190.34774907,10.6479063389,896.259490967,17.5411737849,990.074884033,18.1071845521,757.867247729,1083.86868568,720.847753118,809.003038512
20,20,463.786227363,13.9429334919,780.282745997,8.42609131313,483.584324837,15.8760107294,550.160473633,8.40401476547,324.356892444,696.021832866,324.824217543,466.120325978
21,21,539.28710883,13.6038374795,851.454632441,10.5857525175,560.084745407,16.7092791181,630.952139282,9.75041837569,403.248734035,745.597107266,392.991954226,533.447955525
