,Average Pin Impedance,Pin Variation,Upper Bound,Lower Bound,Average Trial 6387.csv,Lower Bounds Failure 6387.csv,Upper Bounds Failure 6387.csv,Z score 6387.csv,Failed Pins 6387.csv,Average Trial 6419.csv,Lower Bounds Failure 6419.csv,Upper Bounds Failure 6419.csv,Z score 6419.csv,Failed Pins 6419.csv,Average Trial 6432.csv,Lower Bounds Failure 6432.csv,Upper Bounds Failure 6432.csv,Z score 6432.csv,Failed Pins 6432.csv,Average Trial 6434.csv,Lower Bounds Failure 6434.csv,Upper Bounds Failure 6434.csv,Z score 6434.csv,Failed Pins 6434.csv,Average Trial 6441.csv,Lower Bounds Failure 6441.csv,Upper Bounds Failure 6441.csv,Z score 6441.csv,Failed Pins 6441.csv,Average Trial 6463.csv,Lower Bounds Failure 6463.csv,Upper Bounds Failure 6463.csv,Z score 6463.csv,Failed Pins 6463.csv,Average Trial 6504.csv,Lower Bounds Failure 6504.csv,Upper Bounds Failure 6504.csv,Z score 6504.csv,Failed Pins 6504.csv,Average Trial results (35).csv,Lower Bounds Failure results (35).csv,Upper Bounds Failure results (35).csv,Z score results (35).csv,Failed Pins results (35).csv,Average Trial results (36).csv,Lower Bounds Failure results (36).csv,Upper Bounds Failure results (36).csv,Z score results (36).csv,Failed Pins results (36).csv,Average Trial results (37).csv,Lower Bounds Failure results (37).csv,Upper Bounds Failure results (37).csv,Z score results (37).csv,Failed Pins results (37).csv,Average Trial results (38).csv,Lower Bounds Failure results (38).csv,Upper Bounds Failure results (38).csv,Z score results (38).csv,Failed Pins results (38).csv,Average Trial results (39).csv,Lower Bounds Failure results (39).csv,Upper Bounds Failure results (39).csv,Z score results (39).csv,Failed Pins results (39).csv,Average Trial results (40).csv,Lower Bounds Failure results (40).csv,Upper Bounds Failure results (40).csv,Z score results (40).csv,Failed Pins results (40).csv,Average Trial results (41).csv,Lower Bounds Failure results (41).csv,Upper Bounds Failure results (41).csv,Z score results (41).csv,Failed Pins results (41).csv,Average Trial results (42).csv,Lower Bounds Failure results (42).csv,Upper Bounds Failure results (42).csv,Z score results (42).csv,Failed Pins results (42).csv,Average Trial results (43).csv,Lower Bounds Failure results (43).csv,Upper Bounds Failure results (43).csv,Z score results (43).csv,Failed Pins results (43).csv,Average Trial results (44).csv,Lower Bounds Failure results (44).csv,Upper Bounds Failure results (44).csv,Z score results (44).csv,Failed Pins results (44).csv,Average Trial results (45).csv,Lower Bounds Failure results (45).csv,Upper Bounds Failure results (45).csv,Z score results (45).csv,Failed Pins results (45).csv,Average Trial results (46).csv,Lower Bounds Failure results (46).csv,Upper Bounds Failure results (46).csv,Z score results (46).csv,Failed Pins results (46).csv,Average Trial results (47).csv,Lower Bounds Failure results (47).csv,Upper Bounds Failure results (47).csv,Z score results (47).csv,Failed Pins results (47).csv,Average Trial results (48).csv,Lower Bounds Failure results (48).csv,Upper Bounds Failure results (48).csv,Z score results (48).csv,Failed Pins results (48).csv,Average Trial results (49).csv,Lower Bounds Failure results (49).csv,Upper Bounds Failure results (49).csv,Z score results (49).csv,Failed Pins results (49).csv,Average Trial results (50).csv,Lower Bounds Failure results (50).csv,Upper Bounds Failure results (50).csv,Z score results (50).csv,Failed Pins results (50).csv,Average Trial results (51).csv,Lower Bounds Failure results (51).csv,Upper Bounds Failure results (51).csv,Z score results (51).csv,Failed Pins results (51).csv,Average Trial results (52).csv,Lower Bounds Failure results (52).csv,Upper Bounds Failure results (52).csv,Z score results (52).csv,Failed Pins results (52).csv,Average Trial results (53).csv,Lower Bounds Failure results (53).csv,Upper Bounds Failure results (53).csv,Z score results (53).csv,Failed Pins results (53).csv,Average Trial results (54).csv,Lower Bounds Failure results (54).csv,Upper Bounds Failure results (54).csv,Z score results (54).csv,Failed Pins results (54).csv,Average Trial results (55).csv,Lower Bounds Failure results (55).csv,Upper Bounds Failure results (55).csv,Z score results (55).csv,Failed Pins results (55).csv,Average Trial results (56).csv,Lower Bounds Failure results (56).csv,Upper Bounds Failure results (56).csv,Z score results (56).csv,Failed Pins results (56).csv,Average Trial results (57).csv,Lower Bounds Failure results (57).csv,Upper Bounds Failure results (57).csv,Z score results (57).csv,Failed Pins results (57).csv,Average Trial results (58).csv,Lower Bounds Failure results (58).csv,Upper Bounds Failure results (58).csv,Z score results (58).csv,Failed Pins results (58).csv,Average Trial results (59).csv,Lower Bounds Failure results (59).csv,Upper Bounds Failure results (59).csv,Z score results (59).csv,Failed Pins results (59).csv,Average Trial results (60).csv,Lower Bounds Failure results (60).csv,Upper Bounds Failure results (60).csv,Z score results (60).csv,Failed Pins results (60).csv,Average Trial results (61).csv,Lower Bounds Failure results (61).csv,Upper Bounds Failure results (61).csv,Z score results (61).csv,Failed Pins results (61).csv,Average Trial results (62).csv,Lower Bounds Failure results (62).csv,Upper Bounds Failure results (62).csv,Z score results (62).csv,Failed Pins results (62).csv,Average Trial results (63).csv,Lower Bounds Failure results (63).csv,Upper Bounds Failure results (63).csv,Z score results (63).csv,Failed Pins results (63).csv,Average Trial results (64).csv,Lower Bounds Failure results (64).csv,Upper Bounds Failure results (64).csv,Z score results (64).csv,Failed Pins results (64).csv,Average Trial results (65).csv,Lower Bounds Failure results (65).csv,Upper Bounds Failure results (65).csv,Z score results (65).csv,Failed Pins results (65).csv,Average Trial results (66).csv,Lower Bounds Failure results (66).csv,Upper Bounds Failure results (66).csv,Z score results (66).csv,Failed Pins results (66).csv,Average Trial results (67).csv,Lower Bounds Failure results (67).csv,Upper Bounds Failure results (67).csv,Z score results (67).csv,Failed Pins results (67).csv,Average Trial results (68).csv,Lower Bounds Failure results (68).csv,Upper Bounds Failure results (68).csv,Z score results (68).csv,Failed Pins results (68).csv,Average Trial results (69).csv,Lower Bounds Failure results (69).csv,Upper Bounds Failure results (69).csv,Z score results (69).csv,Failed Pins results (69).csv,Average Trial 6391.csv,Lower Bounds Failure 6391.csv,Upper Bounds Failure 6391.csv,Z score 6391.csv,Failed Pins 6391.csv,Average Trial 6407.csv,Lower Bounds Failure 6407.csv,Upper Bounds Failure 6407.csv,Z score 6407.csv,Failed Pins 6407.csv,Average Trial 6450.csv,Lower Bounds Failure 6450.csv,Upper Bounds Failure 6450.csv,Z score 6450.csv,Failed Pins 6450.csv,Average Trial 6530.csv,Lower Bounds Failure 6530.csv,Upper Bounds Failure 6530.csv,Z score 6530.csv,Failed Pins 6530.csv
0,1725.65923527,297.605419969,2320.87007521,1130.44839533,1714.15995789,False,False,-0.0386393412583,88.0,1681.53135681,False,False,-0.148276461038,26.0,1686.55413818,False,False,-0.131399142833,17.0,1797.27398682,False,False,0.240636583689,50.0,1645.65550232,False,False,-0.268824851899,28.0,1687.62626648,False,False,-0.127796626806,27.0,1644.99876404,False,False,-0.271031593577,62.0,2021.95126343,False,False,0.995586801438,,1721.91403198,False,False,-0.0125844592746,,1864.90614319,False,False,0.467891034829,,1543.52774429,False,False,-0.611989832024,,1709.8742981,False,False,-0.0530398175431,,1681.730896,False,False,-0.147605978676,,1899.10969543,False,False,0.58282023285,,1728.108078,False,False,0.00822848835046,,1660.1340332,False,False,-0.220174760508,,1851.76878357,False,False,0.423747485217,,1737.9102478,False,False,0.0411652870184,,1802.519104,False,False,0.258260984429,,1806.25151062,False,False,0.270802444923,,1809.86601258,False,False,0.282947727611,,1855.10456848,False,False,0.434956235763,,1789.67614746,False,False,0.215106674457,,1704.23634338,False,False,-0.071984212816,,1854.883255,False,False,0.434212588428,,1852.53460693,False,False,0.426320769551,,1703.63557434,False,False,-0.074002889236,,1726.91020203,False,False,0.00420344077195,13.0,1874.49568176,False,False,0.500113359853,,1872.46307373,False,False,0.493283484136,,1616.26071167,False,False,-0.367595871108,,1704.6532135,False,False,-0.0705834650783,,1867.97698975,False,False,0.478209551732,17.0,1650.98390198,False,False,-0.250920609234,,1638.59547424,False,False,-0.292547632492,,90.6910743713,True,False,-5.49374457316,9.0,1879.94458008,False,False,0.518422496555,,1859.86447144,False,False,0.450950242036,,1709.50942993,False,False,-0.0542658307069,,1708.24502563,False,False,-0.0585144236891,70.0,1706.49073791,False,False,-0.0644091003349,18.0,1891.34632874,False,False,0.556734126288,,7496.22283935,False,True,19.3899815557,9.0,1905.86965942,False,False,0.605534751929,,1674.65556336,False,False,-0.171380184945,,1863.00805664,False,False,0.461513171986,
1,916.246172742,201.543390981,1319.3329547,513.15939078,811.799438477,False,False,-0.518234479221,,928.525802612,False,False,0.0609279709445,41.0,821.407417297,False,False,-0.470562467879,37.0,803.160148621,False,False,-0.561100136159,,798.003395081,False,False,-0.586686455388,,819.018173218,False,False,-0.482417205798,,1014.34287262,False,False,0.486727445637,,1127.49606323,False,False,1.0481608425,,821.749336243,False,False,-0.468865964988,,1118.44094849,False,False,1.00323198276,,817.443099976,False,False,-0.490232263561,,824.266395569,False,False,-0.456377044791,,788.267868042,False,False,-0.634991324088,,1154.22006226,False,False,1.18075759446,,812.711463928,False,False,-0.513709272777,,834.566879273,False,False,-0.405269024561,,928.360664368,False,False,0.0601086027519,,837.455978393,False,False,-0.390934150533,,908.10912323,False,False,-0.0403736856485,,914.64756012,False,False,-0.00793185335596,,910.05393219,False,False,-0.0307241062172,,1109.64622498,False,False,0.959595108988,,906.924133301,False,False,-0.0462532628625,,809.373451233,False,False,-0.530271526091,,1117.12663269,False,False,0.996710728005,,1162.40054321,False,False,1.22134677437,,819.90007019,False,False,-0.478041488151,,795.872749329,False,False,-0.597258103218,,1126.5038147,False,False,1.04323759233,,1136.86691284,False,False,1.0946562873,,811.061920166,False,False,-0.521893831715,,825.489044189,False,False,-0.450310616045,,1119.57785034,False,False,1.00887296086,,788.959869385,False,False,-0.631557813618,,796.894882202,False,False,-0.5921865756,,85.1448774338,True,False,-4.12368419159,10.0,1131.05880737,False,False,1.06583814821,,1115.45321655,False,False,0.988407721246,,820.740440369,False,False,-0.473871814444,,817.06803894,False,False,-0.492093207914,,830.969841003,False,False,-0.423116487837,20.0,1143.79335022,False,False,1.12902326577,,1672.14732361,False,True,3.7505628301,10.0,1139.6720581,False,False,1.10857460657,,803.621803284,False,False,-0.558809539276,,1119.30653381,False,False,1.00752676674,
2,1467.97684217,254.009253706,1975.99534958,959.958334758,1394.72241211,False,False,-0.288392761253,,1410.09249878,False,False,-0.227882813502,76.0,1408.44871521,False,False,-0.234354166596,50.0,1390.56626892,False,False,-0.304754933607,,1497.18733215,False,False,0.114997739482,,1400.76737976,False,False,-0.264594543031,,1377.27436829,False,False,-0.357083344639,,1654.50263977,False,False,0.734326780934,,1402.98910523,False,False,-0.255847911038,,1645.61421204,False,False,0.699334245803,,1404.65159607,False,False,-0.249302909938,,1412.24664307,False,False,-0.219402239444,,1383.91316223,False,False,-0.330947312799,,1670.21247864,False,False,0.796174287031,,1397.582901,False,False,-0.277131404232,,1470.61346435,False,False,0.010380024139,,1550.98608399,False,False,0.326796132833,,1422.79327392,False,False,-0.17788158339,,1517.70283508,False,False,0.195764493565,,1533.15385437,False,False,0.25659306206,,1528.18135071,False,False,0.237016989176,,1636.22595215,False,False,0.662373939228,,1517.85870361,False,False,0.196378126844,,1379.64277649,False,False,-0.347759242596,,1635.72488403,False,False,0.66040130198,,1634.84240723,False,False,0.656927110417,,1388.80680847,False,False,-0.311681690893,,1390.11239624,False,False,-0.306541768824,,1628.4979248,False,False,0.631949743141,,1653.99662781,False,False,0.732334680424,,1396.49557495,False,False,-0.281412059505,,1401.3296814,False,False,-0.262380837706,,1646.82264709,False,False,0.704091690812,,1380.76217651,False,False,-0.343352316436,,1376.55773926,False,False,-0.359904615988,,138.38948822,True,False,-5.2344051823,11.0,1667.96281433,False,False,0.787317663608,,1637.5164032,False,False,0.667454270086,,1399.08825684,False,False,-0.271205022366,,1401.29147339,False,False,-0.262531257457,,1416.59487915,False,False,-0.202283823405,88.0,1655.52626038,False,False,0.7383566365,,4664.23822022,False,True,12.583247781,11.0,1637.85186767,False,False,0.668774948256,,1376.42033386,False,False,-0.360445562403,,1643.18486023,False,False,0.689770217044,
3,2109.12801078,193.004891084,2495.13779295,1723.11822861,1943.4382782,False,False,-0.858474267935,,1957.26756287,False,False,-0.786821759073,,1959.00411987,False,False,-0.777824282396,,1958.56562805,False,False,-0.780096203168,,1956.41291809,False,False,-0.791249858124,,1965.92190552,False,False,-0.741981741787,,1961.28082275,False,False,-0.766028193358,,2362.8878479,False,False,1.31478448911,,1939.93812561,False,False,-0.876609313997,,2366.18942261,False,False,1.33189066031,,1939.85583496,False,False,-0.877035679598,,1940.67578125,False,False,-0.8727873609,,1936.8875885,False,False,-0.892414805203,,2368.44146729,False,False,1.34355898988,,1936.32711792,False,False,-0.89531872426,,1936.73849487,False,False,-0.893187291475,,2049.59805298,False,False,-0.308437560666,,1937.86865235,False,False,-0.887331701664,,2049.99092102,False,False,-0.306402026532,,2052.19786072,False,False,-0.294967395614,,2049.07434082,False,False,-0.311151026395,,2369.6184082,False,False,1.34965697481,,2052.06047058,False,False,-0.295679243565,,1943.83102417,False,False,-0.856439366286,,2370.66955567,False,False,1.3551031967,,2368.73959351,False,False,1.34510364618,,1940.84640503,False,False,-0.871903322261,,1961.49681091,False,False,-0.764909112087,,2371.57260132,False,False,1.35978207114,,2372.25592041,False,False,1.36332249485,,1956.72569275,False,False,-0.789629305119,,1942.89707947,False,False,-0.861278335364,,2374.12277222,False,False,1.37299505702,,1961.37060547,False,False,-0.765563009732,,2102.0699768,False,False,-0.0365691974714,,1932.26438904,False,False,-0.916368599517,,2370.36831665,False,False,1.35354241233,,2372.15008545,False,False,1.36277414107,,1939.19210815,False,False,-0.88047459145,,1940.33049011,False,False,-0.874576388813,,1940.39315796,False,False,-0.874251693169,,2369.83340454,False,False,1.35077091725,,2396.18518066,False,False,1.48730515724,13.0,2368.7194519,False,False,1.34499928819,,1942.7424469,False,False,-0.862079520086,,2368.22518921,False,False,1.34243840648,
4,1679.37118263,270.696719095,2220.76462082,1137.97774444,1647.54815674,False,False,-0.117559702973,,1624.39822388,False,False,-0.203079516211,,1653.68798828,False,False,-0.0948781146466,,1609.5124054,False,False,-0.25807027683,,1588.81913757,False,False,-0.334514749053,,1636.39179992,False,False,-0.158773194033,,1594.88287354,False,False,-0.31211427082,,1878.71176147,False,False,0.736398207966,,1658.94900513,False,False,-0.075443018194,,1808.96803284,False,False,0.478752940332,,1648.55641174,False,False,-0.113835036459,,1652.2061615,False,False,-0.100352236341,,1627.5609436,False,False,-0.191395888356,,1835.24151611,False,False,0.575811683292,,1676.21902466,False,False,-0.0116446109249,,1649.41204834,False,False,-0.110674168462,,1806.33137512,False,False,0.469012675576,,1675.1622467,False,False,-0.0155485295096,,1735.82106018,False,False,0.208535506969,,1748.69300842,False,False,0.256086686327,,1757.21478271,False,False,0.287567578747,,1803.46801758,False,False,0.458434942853,,1734.44984436,False,False,0.203470001097,,1656.4526825,False,False,-0.0846648611419,,1801.50387573,False,False,0.451179066788,,1804.56280518,False,False,0.46247927557,,1637.77700805,False,False,-0.153655998174,,178.083662033,True,False,-5.54601299054,,1829.44772339,False,False,0.554408421569,,1820.84591675,False,False,0.522631875967,,1644.88919067,False,False,-0.1273823786,,1643.01989746,False,False,-0.134287867587,,1819.50140381,False,False,0.517665015103,,1598.78930664,False,False,-0.29768323849,,1591.86738586,False,False,-0.323253998271,,1647.16293335,False,False,-0.118982784083,,1821.82545471,False,False,0.526250456812,,1814.82749939,False,False,0.500398812416,,1649.91671753,False,False,-0.108809834114,,1660.63233948,False,False,-0.0692244930651,,1635.1481781,False,False,-0.16336734585,,1824.77217102,False,False,0.537136131073,,7399.06555176,False,True,21.1295297122,14.0,1852.03004456,False,False,0.637831380086,,1614.00639343,False,False,-0.24146871605,,1812.04762268,False,False,0.490129472181,
5,779.920256042,152.123080232,1084.16641651,475.674095578,656.02633667,False,False,-0.814432097898,,657.244300842,False,False,-0.806425658832,,662.772789001,False,False,-0.770083453884,,644.174179077,False,False,-0.892343730864,,649.419563294,False,False,-0.857862544917,,650.219329834,False,False,-0.852605180031,,637.439163208,False,False,-0.936617195869,,992.496017456,False,False,1.39739322324,,643.837097168,False,False,-0.894559580745,,976.821617126,False,False,1.29435560195,,651.83417511,False,False,-0.841989793639,,652.967407226,False,False,-0.834540351286,,645.33846283,False,False,-0.884690166721,,996.333427429,False,False,1.42261891527,,648.864761352,False,False,-0.861509604523,,651.305358887,False,False,-0.845466032892,,785.904548645,False,False,0.0393384921867,,659.089103699,False,False,-0.794298617665,,742.661758423,False,False,-0.244923371012,,750.479286194,False,False,-0.193533879298,,750.430099487,False,False,-0.193857214236,,972.44429779,False,False,1.26558074853,,747.730461121,False,False,-0.211603623015,,640.4661026,False,False,-0.916719233065,,981.038597107,False,False,1.32207644467,,981.569877625,False,False,1.32556888327,,650.779670715,False,False,-0.848921709512,,654.508880615,False,False,-0.824407284125,,983.041687012,False,False,1.33524400545,,979.09563446,False,False,1.3093041379,,670.988998413,False,False,-0.716073178788,,649.685516357,False,False,-0.856114269354,,993.283050537,False,False,1.40256688314,,640.65700531,False,False,-0.915464310344,,642.868972778,False,False,-0.900923666906,,649.420875549,False,False,-0.857853918642,,990.109016419,False,False,1.38170197485,,978.480278015,False,False,1.30525901573,,646.144241333,False,False,-0.879393281447,,652.469718933,False,False,-0.837811967222,,655.177909851,False,False,-0.82000933718,,988.885047913,False,False,1.37365606555,,1546.00428772,False,True,5.03594872329,15.0,984.898910522,False,False,1.34745269533,,648.810409546,False,False,-0.861866892887,,973.319816589,False,False,1.27133608031,
6,727.923072379,138.231115749,1004.38530388,451.460840881,608.794967651,False,False,-0.861803828191,,623.108963013,False,False,-0.75825264665,,633.524108887,False,False,-0.68290676076,,605.692764282,False,False,-0.88424597772,,611.483711243,False,False,-0.842352754698,,619.423477173,False,False,-0.784914413938,,594.507171631,False,False,-0.965165476855,,925.453208923,False,False,1.4289846065,,597.746429443,False,False,-0.941731839681,,909.876708984,False,False,1.31630013705,,606.023635864,False,False,-0.881852366264,,613.977012634,False,False,-0.824315561133,,597.533058166,False,False,-0.943275423237,,929.279708862,False,False,1.45666650661,,609.68535614,False,False,-0.855362525277,,606.949638367,False,False,-0.875153422272,,734.057296753,False,False,0.0443765815018,,615.660140991,False,False,-0.812139370931,,693.179077148,False,False,-0.25134713731,,693.882484436,False,False,-0.246258505246,,700.301986694,False,False,-0.199818149011,,902.936874389,False,False,1.26609556077,,698.909088135,False,False,-0.209894741042,,603.644790649,False,False,-0.899061553951,,911.527877808,False,False,1.32824512364,,903.011611939,False,False,1.26663623173,,596.181762695,False,False,-0.953051047659,,681.757957459,False,False,-0.333970500566,,911.159156799,False,False,1.32557769955,,907.177223206,False,False,1.29677135177,,638.381576538,False,False,-0.647766570903,,609.343238831,False,False,-0.857837491262,,910.801521301,False,False,1.32299047093,,597.523147583,False,False,-0.943347118986,,611.98461914,False,False,-0.838729056119,,598.761734009,False,False,-0.934386861238,,918.316215515,False,False,1.37735373186,,907.504066467,False,False,1.2991358213,,596.631568909,False,False,-0.949797032014,,608.061058044,False,False,-0.867113121999,,610.219429016,False,False,-0.85149890258,,919.867271423,False,False,1.38857447547,,1212.91804504,False,True,3.50858032243,16.0,911.646369934,False,False,1.32910232663,,608.833648682,False,False,-0.861523999513,,902.339935303,False,False,1.26177714749,
7,776.09395207,137.268354232,1050.63066053,501.557243606,654.478744507,False,False,-0.885966822022,,662.516151428,False,False,-0.827414310292,,682.054870605,False,False,-0.685074735474,,650.933662414,False,False,-0.911792746084,,652.062339783,False,False,-0.903570331131,,650.464942932,False,False,-0.915207367646,,640.099639892,False,False,-0.990718603267,,969.581001282,False,False,1.40955320907,,642.490234375,False,False,-0.973303121776,,948.415634155,False,False,1.25536350348,,649.081001282,False,False,-0.925289382967,,651.430519104,False,False,-0.908173144956,,646.324478149,False,False,-0.945370654779,,970.179931641,False,False,1.41391641691,,653.29964447,False,False,-0.894556566127,,644.576332092,False,False,-0.958105899305,,791.776298523,False,False,0.114245898414,,654.494903565,False,False,-0.885849103283,,744.123153687,False,False,-0.232907275405,,745.511993408,False,False,-0.222789577634,,750.971160889,False,False,-0.183019540971,,947.277542114,False,False,1.24707250263,,747.28881836,False,False,-0.209845407353,,646.5779953,False,False,-0.943523782261,,951.241775512,False,False,1.27595194408,,951.727714539,False,False,1.27949201002,,645.82346344,False,False,-0.94902054708,,687.621902466,False,False,-0.644518906774,,960.89730072,False,False,1.34629244799,,950.055641174,False,False,1.26731095508,,682.116271973,False,False,-0.684627426496,,651.179550171,False,False,-0.910001453707,,960.516418457,False,False,1.34351772059,,642.959121704,False,False,-0.969887277449,,655.929000854,False,False,-0.875401704113,,650.583984375,False,False,-0.914340150701,,962.152923584,False,False,1.35543966091,,953.496948242,False,False,1.29238087806,,641.801864624,False,False,-0.978317895609,,649.359466553,False,False,-0.923260763389,,803.636749267,False,False,0.200649285491,,958.787582398,False,False,1.3309231494,,1171.20478821,False,True,2.87838255473,17.0,955.200088501,False,False,1.30478825533,,652.31137085,False,False,-0.901756139738,,947.249229431,False,False,1.24686624473,
8,1694.4607217,127.570158146,1949.60103799,1439.32040541,1582.19815064,False,False,-0.88000652108,,1612.97900391,False,False,-0.638720833916,,182.061008453,True,False,-11.855434964,,1569.94967651,False,False,-0.976020152329,,1582.73916626,False,False,-0.875765594898,,1563.70065308,False,False,-1.02500514638,,1561.17198181,False,False,-1.04482695503,,1851.52386475,False,False,1.23119031385,,1582.39122009,False,False,-0.87849308361,,1845.90609741,False,False,1.18715362524,,1563.62030029,False,False,-1.0256350177,,1596.72276306,False,False,-0.766150642579,,1576.42033386,False,False,-0.925297809088,,1886.55543518,False,False,1.50579662417,,1607.955307,False,False,-0.67810070907,,1568.18434143,False,False,-0.989858303101,,1772.22416687,False,False,0.60957394974,,1580.56085205,False,False,-0.892841016301,,1717.18096924,False,False,0.178100018601,,1712.17738342,False,False,0.13887779069,,1704.1607666,False,False,0.0760369434531,,1829.33959961,False,False,1.05729176688,,1735.12908935,False,False,0.318792170871,,1556.07272339,False,False,-1.08479914365,,1836.48614502,False,False,1.11331227761,,1841.12319946,False,False,1.14966133064,,1564.0664978,False,False,-1.022137354,,1619.16549683,False,False,-0.59022600557,,1852.13322449,False,False,1.23596697753,,1831.68739319,False,False,1.07569570723,,1618.3271637,False,False,-0.596797551335,,1560.68618775,False,False,-1.04863500915,,1954.53182983,False,True,2.03865160876,,1575.2644043,False,False,-0.934358937367,,1582.81390381,False,False,-0.875179740427,,1575.35647583,False,False,-0.933637204821,,1841.16156006,False,False,1.14996203259,,1827.04754639,False,False,1.03932476538,,1563.28013611,False,False,-1.02830150482,,1573.49507141,False,False,-0.948228426209,,1563.34683227,False,False,-1.02777868532,,1840.02697754,False,False,1.14106824007,,6624.44219971,False,True,38.6452564585,18.0,1830.77427673,False,False,1.06853794817,,1568.18670654,False,False,-0.989839763411,,1838.02416992,False,False,1.1253685839,
9,1752.47015424,125.562085953,2003.59432615,1501.34598233,1650.63356018,False,False,-0.811045733169,,1628.03619385,False,False,-0.991015396481,,1666.7588501,False,False,-0.682620900196,,1609.45478821,False,False,-1.13900119568,,1587.8513031,False,False,-1.31105540251,,1642.08554077,False,False,-0.879123762796,,1593.27290344,False,False,-1.26787676064,,1968.84431458,False,False,1.72324439096,,1665.8152771,False,False,-0.690135692513,,1893.99806214,False,False,1.12715480012,,1649.84017944,False,False,-0.81736436616,,1655.26939392,False,False,-0.774125083886,,1625.41394043,False,False,-1.01189951446,,1926.34396362,False,False,1.3847636256,,1687.29608154,False,False,-0.519058537468,,1659.93185425,False,False,-0.736992375436,,1823.88272095,False,False,0.568743073719,,1677.42494201,False,False,-0.597674143874,,1755.02227783,False,False,0.020325590887,,1765.20896912,False,False,0.101454310667,,1759.25354004,False,False,0.0540241566335,,1872.37400818,False,False,0.954936779134,,1756.14120483,False,False,0.0292369353745,,1669.58633423,False,False,-0.660102286319,,1884.47961426,False,False,1.05134809617,,1885.36636352,False,False,1.05841033362,,1635.81173706,False,False,-0.929089512119,,1749.98745728,False,False,-0.0197726642056,,1922.82878113,False,False,1.356768053,,1905.00904846,False,False,1.21484836018,,1656.02513122,False,False,-0.768106250251,,1645.69691467,False,False,-0.850362103792,,1892.07218933,False,False,1.11181678794,,1599.46447754,False,False,-1.21856590339,,1598.14060974,False,False,-1.22910943481,,1643.39953613,False,False,-0.868658857327,,1908.79229736,False,False,1.24497886393,,1899.25991821,False,False,1.1690612087,,1649.59039307,False,False,-0.819353711695,,1658.27952576,False,False,-0.750151829413,,1478.75175476,True,False,-2.17994466565,,1911.85258484,False,False,1.26935156731,,7507.45166016,False,True,45.833751982,19.0,1944.68994141,False,False,1.53087443321,,1613.03538513,False,False,-1.11048465029,,1886.25953675,False,False,1.06552373266,
