,Unnamed: 0,pin average impedances 10044,cartridge_to_cartridge_pin_variation 10044,pin average impedances 00000004,cartridge_to_cartridge_pin_variation 00000004,pin average impedances 10045,cartridge_to_cartridge_pin_variation 10045,pin average impedances 47,cartridge_to_cartridge_pin_variation 47,Lower Bound 10044,Lower Bound 00000004,Lower Bound 10045,Lower Bound 47,Average Trial 6391.csv,Lower Bounds Failure 6391.csv,Z score 6391.csv,Failed Pins 6391.csv,Average Trial 6407.csv,Lower Bounds Failure 6407.csv,Z score 6407.csv,Failed Pins 6407.csv,Average Trial 6530.csv,Lower Bounds Failure 6530.csv,Z score 6530.csv,Failed Pins 6530.csv,Average Trial 6387.csv,Lower Bounds Failure 6387.csv,Z score 6387.csv,Failed Pins 6387.csv,Average Trial 6450.csv,Lower Bounds Failure 6450.csv,Z score 6450.csv,Failed Pins 6450.csv,Average Trial 6419.csv,Lower Bounds Failure 6419.csv,Z score 6419.csv,Failed Pins 6419.csv,Average Trial 6432.csv,Lower Bounds Failure 6432.csv,Z score 6432.csv,Failed Pins 6432.csv,Average Trial 6434.csv,Lower Bounds Failure 6434.csv,Z score 6434.csv,Failed Pins 6434.csv,Average Trial 6441.csv,Lower Bounds Failure 6441.csv,Z score 6441.csv,Failed Pins 6441.csv,Average Trial 6463.csv,Lower Bounds Failure 6463.csv,Z score 6463.csv,Failed Pins 6463.csv,Average Trial 6504.csv,Lower Bounds Failure 6504.csv,Z score 6504.csv,Failed Pins 6504.csv,Average Trial 6511.csv,Lower Bounds Failure 6511.csv,Z score 6511.csv,Failed Pins 6511.csv
0,0,1579.332909,415.3735426,1882.881722,44.17232623,1658.187572,41.5824622,1812.016312,21.01140466,-2574.402517,1441.158459,1242.36295,1601.902265,7496.222839,FALSE,127.0782319,32,1905.869659,FALSE,0.520414927,,1863.008057,FALSE,-0.449912118,,1714.159958,FALSE,0.324592288,,1674.655563,FALSE,0.229486581,,1681.531357,FALSE,0.561385332,26,1686.554138,FALSE,0.682176192,17,1797.273987,FALSE,3.344833542,50,1645.655502,FALSE,-0.301378742,28,1687.626266,FALSE,0.707959376,27,1644.998764,FALSE,-0.317172379,62,1806.251511,FALSE,-0.274365338,
1,1,767.5104846,189.608104,1130.215369,15.61707566,798.1973553,8.030074787,913.6190826,7.826420572,-1128.570555,974.0446123,717.8966074,835.3548769,1672.147324,FALSE,34.70124411,39,1139.672058,FALSE,0.60553521,,1119.306534,FALSE,-0.698519706,,811.7994385,FALSE,0.233581545,,803.6218033,FALSE,0.190452401,,928.5258026,FALSE,16.23004154,41,821.4074173,FALSE,2.890391764,37,803.1601486,FALSE,0.618025795,,798.0033951,FALSE,-0.02415422,,819.0181732,FALSE,2.592854799,,1014.342873,FALSE,26.91699929,,914.6475601,FALSE,0.131410964,
2,2,1315.709536,327.2136773,1647.287104,12.84666555,1385.981972,7.804785057,1529.576566,12.25891401,-1956.427237,1518.820449,1307.934121,1406.987426,4664.23822,FALSE,234.8431275,,1637.851868,FALSE,-0.734450241,,1643.18486,FALSE,-0.319323644,,1394.722412,FALSE,0.2414718,,1376.420334,FALSE,0.185538691,,1410.092499,FALSE,3.089198084,76,1408.448715,FALSE,2.878585804,50,1390.566269,FALSE,0.587370075,,1497.187332,FALSE,14.24835657,,1400.76738,FALSE,1.894402974,,1377.274368,FALSE,-1.115674985,,1533.153855,FALSE,0.291811244,
3,3,1939.146161,2.843216448,2369.73745,2.861138502,1995.415771,61.60683996,2050.584329,1.295176921,1910.713996,2341.126065,1379.347372,2037.63256,2396.185181,FALSE,9.243778654,,2368.719452,FALSE,-0.355801631,,2368.225189,FALSE,-0.528551987,,1943.438278,FALSE,1.509599289,,1942.742447,FALSE,1.264865442,,1957.267563,FALSE,-0.619220344,,1959.00412,FALSE,-0.591032613,,1958.565628,FALSE,-0.598150196,,1956.412918,FALSE,-0.633092907,,1965.921906,FALSE,-0.478743366,,1961.280823,FALSE,-0.554077254,,2052.197861,FALSE,1.245800094,
4,4,1651.298257,13.28079079,1821.973015,19.89801069,1253.407386,621.172874,1756.502014,26.30001473,1518.490349,1622.992908,-4958.321353,1493.501867,7399.065552,FALSE,280.2839251,,1852.030045,FALSE,1.510554507,,1812.047623,FALSE,-0.498813289,,1647.548157,FALSE,-0.282370254,,1614.006393,FALSE,-2.80795505,,1624.398224,FALSE,0.597242496,,1653.687988,FALSE,0.644394852,,1609.512405,FALSE,0.573278445,,1588.819138,FALSE,0.539965226,,1636.3918,FALSE,0.616550448,,1594.882874,FALSE,0.549726979,,1748.693009,FALSE,-0.296920201,
5,5,649.8128858,4.603646713,984.4665457,7.212373047,652.2559643,12.02761051,755.4412308,15.49526992,603.7764187,912.3428153,531.9798592,600.4885316,1546.004288,FALSE,77.8575565,,984.8989105,FALSE,0.059947645,,973.3198166,FALSE,-1.545500916,,656.0263367,FALSE,1.349680205,,648.8104095,FALSE,-0.217756997,,657.2443008,FALSE,0.414740447,,662.772789,FALSE,0.874390197,,644.1741791,FALSE,-0.671936059,,649.4195633,FALSE,-0.235824147,,650.2193298,FALSE,-0.16932993,,637.4391632,FALSE,-1.231898976,,750.4792862,FALSE,-0.320223179,
6,6,605.0299181,6.399802235,913.0759538,8.066144166,632.4118252,32.03579745,704.0659866,15.24774407,541.0318958,832.4145121,312.0538507,551.588546,1212.918045,FALSE,37.17291497,,911.6463699,FALSE,-0.177232621,,902.3399353,FALSE,-1.330997597,,608.7949677,FALSE,0.588307167,,608.8336487,FALSE,0.594351265,,623.108963,FALSE,-0.290389593,,633.5241089,FALSE,0.034720026,,605.6927643,FALSE,-0.83403764,,611.4837112,FALSE,-0.653272764,,619.4234772,FALSE,-0.40543233,,594.5071716,FALSE,-1.183196816,,693.8824844,FALSE,-0.667869434,
7,7,659.3328705,40.19295136,957.0275345,7.52192615,667.1565742,18.39971011,755.934285,18.06739391,257.4033568,881.808273,483.1594731,575.2603459,1171.204788,FALSE,28.47372461,,955.2000885,FALSE,-0.242949206,,947.2492294,FALSE,-1.299973552,,654.4787445,FALSE,-0.120770578,,652.3113709,FALSE,-0.174694801,,662.5161514,FALSE,-0.252200866,,682.0548706,FALSE,0.809702776,,650.9336624,FALSE,-0.881693882,,652.0623398,FALSE,-0.820351754,,650.4649429,FALSE,-0.907168168,,640.0996399,FALSE,-1.47050873,,745.5119934,FALSE,-0.576856387,
8,8,1573.725646,14.03294142,1853.126906,34.03126692,1598.892742,20.03439989,1728.174475,24.25763514,1433.396232,1512.814237,1398.548743,1485.598124,6624.4422,FALSE,140.2038691,,1830.774277,FALSE,-0.656826247,,1838.02417,FALSE,-0.443790006,,1582.198151,FALSE,0.603758293,,1568.186707,FALSE,-0.394709788,,1612.979004,FALSE,0.703103753,,182.0610085,TRUE,-70.71994878,,1569.949677,FALSE,-1.444668461,,1582.739166,FALSE,-0.806291977,,1563.700653,FALSE,-1.756583141,,1561.171982,FALSE,-1.882799613,,1712.177383,FALSE,-0.659466252,
9,9,1643.007705,48.16738619,1905.935095,24.31137272,1650.904419,61.79352173,1771.901743,26.23014768,1161.333843,1662.821368,1032.969202,1509.600266,7507.45166,FALSE,230.4072514,,1944.689941,FALSE,1.594103566,,1886.259537,FALSE,-0.809315005,,1650.63356,FALSE,0.158319896,,1613.035385,FALSE,-0.622253393,,1628.036194,FALSE,-0.370074798,,1666.75885,FALSE,0.256571089,,1609.454788,FALSE,-0.670776314,,1587.851303,FALSE,-1.020383919,,1642.085541,FALSE,-0.142715254,,1593.272903,FALSE,-0.932646561,,1765.208969,FALSE,-0.255155766,
10,10,1887.248368,38.30648466,2085.542793,37.61985814,1895.593319,24.84876226,1970.628711,55.4507473,1504.183522,1709.344212,1647.105696,1416.121238,4928.993195,FALSE,75.58376192,,2139.724243,FALSE,1.440235359,,2008.113037,FALSE,-2.058214996,,1864.638077,FALSE,-0.590247104,,1860.260498,FALSE,-0.70452485,,1924.43309,FALSE,1.160611984,,2091.737915,FALSE,7.893535864,,1877.59761,FALSE,-0.724209451,,1873.008499,FALSE,-0.908891137,,1880.995163,FALSE,-0.587480206,,1819.623337,FALSE,-3.057294417,,1931.132294,FALSE,-0.712279261,
11,11,1723.550133,53.27340035,1959.700798,43.17335075,1731.735245,35.85394131,1815.330655,60.4072815,1190.816129,1527.967291,1373.195832,1211.25784,6320.054749,FALSE,100.996422,,2027.483322,FALSE,1.570008418,,1912.30072,FALSE,-1.097901298,,1720.407486,FALSE,-0.058990918,,1691.83493,FALSE,-0.595329041,,1761.962677,FALSE,0.843071393,,1804.096817,FALSE,2.018232016,,1708.905121,FALSE,-0.636753536,,1705.759689,FALSE,-0.724482566,,1741.029602,FALSE,0.259228329,,1688.037964,FALSE,-1.218758086,,1757.727127,FALSE,-0.953585834,
12,12,620.5547545,11.05731744,951.5060024,8.623089855,641.1533585,17.93198121,726.9651779,12.62703265,509.9815801,865.2751039,461.8335463,600.6948514,1134.514221,FALSE,21.22304439,,949.2609406,FALSE,-0.260354689,,938.0295258,FALSE,-1.562836164,,616.9676437,FALSE,-0.324410583,,613.9906921,FALSE,-0.59363968,,653.1231079,FALSE,0.667508476,,670.2927628,FALSE,1.624996365,,622.335556,FALSE,-1.04939896,,620.2275238,FALSE,-1.166956088,,640.5695648,FALSE,-0.032556003,,603.4311295,FALSE,-2.103628626,,720.1215897,FALSE,-0.541979138,
13,13,1067.661356,13.86589045,1347.896608,12.99047854,1116.589619,27.13734433,1221.654138,27.63920887,929.0024517,1217.991822,845.2161754,945.2620495,2180.770508,FALSE,64.11418158,,1329.891724,FALSE,-1.386006222,,1345.995972,FALSE,-0.146309933,,1075.002335,FALSE,0.529427113,,1068.29631,FALSE,0.045792529,,1118.640854,FALSE,0.075587175,,1287.459167,FALSE,6.29647274,,1079.347672,FALSE,-1.372350467,,1087.837418,FALSE,-1.059506808,,1069.497849,FALSE,-1.735312402,,1064.019089,FALSE,-1.937202451,,1210.381699,FALSE,-0.407842338,
