,pin average impedance 10044 0,pin average impedance 10044 1,pin average impedance 10044 2,pin average impedance 10044 3,pin average impedance 10044 4,pin average impedance 10044 5,pin average impedance 10044 6,pin average impedance 10044 7,pin average impedance 10044 8,pin average impedance 10044 9,pin average impedance 10044 10,pin average impedance 10044 11,pin average impedance 10044 12,pin average impedance 10044 13,pin average impedance 00000004 0,pin average impedance 00000004 1,pin average impedance 00000004 2,pin average impedance 00000004 3,pin average impedance 00000004 4,pin average impedance 00000004 5,pin average impedance 00000004 6,pin average impedance 00000004 7,pin average impedance 00000004 8,pin average impedance 00000004 9,pin average impedance 00000004 10,pin average impedance 00000004 11,pin average impedance 10045 0,pin average impedance 10045 1,pin average impedance 10045 2,pin average impedance 10045 3,pin average impedance 47 0,pin average impedance 47 1,pin average impedance 47 2,pin average impedance 47 3,pin average impedance 47 4
0,1721.91403198,1543.52774429,1709.8742981,1681.730896,1728.108078,1660.1340332,1737.9102478,1704.23634338,1703.63557434,1704.6532135,90.6910743713,1709.50942993,1708.24502563,1706.49073791,2021.95126343,1864.90614319,1899.10969543,1855.10456848,1854.883255,1852.53460693,1874.49568176,1872.46307373,1867.97698975,1879.94458008,1859.86447144,1891.34632874,1726.91020203,1616.26071167,1650.98390198,1638.59547424,1851.76878357,1802.519104,1806.25151062,1809.86601258,1789.67614746
1,821.749336243,817.443099976,824.266395569,788.267868042,812.711463928,834.566879273,837.455978393,809.373451233,819.90007019,825.489044189,85.1448774338,820.740440369,817.06803894,830.969841003,1127.49606323,1118.44094849,1154.22006226,1109.64622498,1117.12663269,1162.40054321,1126.5038147,1136.86691284,1119.57785034,1131.05880737,1115.45321655,1143.79335022,795.872749329,811.061920166,788.959869385,796.894882202,928.360664368,908.10912323,914.64756012,910.05393219,906.924133301
2,1402.98910523,1404.65159607,1412.24664307,1383.91316223,1397.582901,1470.61346435,1422.79327392,1379.64277649,1388.80680847,1401.3296814,138.38948822,1399.08825684,1401.29147339,1416.59487915,1654.50263977,1645.61421204,1670.21247864,1636.22595215,1635.72488403,1634.84240723,1628.4979248,1653.99662781,1646.82264709,1667.96281433,1637.5164032,1655.52626038,1390.11239624,1396.49557495,1380.76217651,1376.55773926,1550.98608399,1517.70283508,1533.15385437,1528.18135071,1517.85870361
3,1939.93812561,1939.85583496,1940.67578125,1936.8875885,1936.32711792,1936.73849487,1937.86865235,1943.83102417,1940.84640503,1942.89707947,1932.26438904,1939.19210815,1940.33049011,1940.39315796,2362.8878479,2366.18942261,2368.44146729,2369.6184082,2370.66955567,2368.73959351,2371.57260132,2372.25592041,2374.12277222,2370.36831665,2372.15008545,2369.83340454,1961.49681091,1956.72569275,1961.37060547,2102.0699768,2049.59805298,2049.99092102,2052.19786072,2049.07434082,2052.06047058
4,1658.94900513,1648.55641174,1652.2061615,1627.5609436,1676.21902466,1649.41204834,1675.1622467,1656.4526825,1637.77700805,1643.01989746,1647.16293335,1649.91671753,1660.63233948,1635.1481781,1878.71176147,1808.96803284,1835.24151611,1803.46801758,1801.50387573,1804.56280518,1829.44772339,1820.84591675,1819.50140381,1821.82545471,1814.82749939,1824.77217102,178.083662033,1644.88919067,1598.78930664,1591.86738586,1806.33137512,1735.82106018,1748.69300842,1757.21478271,1734.44984436
5,643.837097168,651.83417511,652.967407226,645.33846283,648.864761352,651.305358887,659.089103699,640.4661026,650.779670715,649.685516357,649.420875549,646.144241333,652.469718933,655.177909851,992.496017456,976.821617126,996.333427429,972.44429779,981.038597107,981.569877625,983.041687012,979.09563446,993.283050537,990.109016419,978.480278015,988.885047913,654.508880615,670.988998413,640.65700531,642.868972778,785.904548645,742.661758423,750.479286194,750.430099487,747.730461121
6,597.746429443,606.023635864,613.977012634,597.533058166,609.68535614,606.949638367,615.660140991,603.644790649,596.181762695,609.343238831,598.761734009,596.631568909,608.061058044,610.219429016,925.453208923,909.876708984,929.279708862,902.936874389,911.527877808,903.011611939,911.159156799,907.177223206,910.801521301,918.316215515,907.504066467,919.867271423,681.757957459,638.381576538,597.523147583,611.98461914,734.057296753,693.179077148,693.882484436,700.301986694,698.909088135
7,642.490234375,649.081001282,651.430519104,646.324478149,653.29964447,644.576332092,654.494903565,646.5779953,645.82346344,651.179550171,650.583984375,641.801864624,649.359466553,803.636749267,969.581001282,948.415634155,970.179931641,947.277542114,951.241775512,951.727714539,960.89730072,950.055641174,960.516418457,962.152923584,953.496948242,958.787582398,687.621902466,682.116271973,642.959121704,655.929000854,791.776298523,744.123153687,745.511993408,750.971160889,747.28881836
8,1582.39122009,1563.62030029,1596.72276306,1576.42033386,1607.955307,1568.18434143,1580.56085205,1556.07272339,1564.0664978,1560.68618775,1575.35647583,1563.28013611,1573.49507141,1563.34683227,1851.52386475,1845.90609741,1886.55543518,1829.33959961,1836.48614502,1841.12319946,1852.13322449,1831.68739319,1954.53182983,1841.16156006,1827.04754639,1840.02697754,1619.16549683,1618.3271637,1575.2644043,1582.81390381,1772.22416687,1717.18096924,1712.17738342,1704.1607666,1735.12908935
9,1665.8152771,1649.84017944,1655.26939392,1625.41394043,1687.29608154,1659.93185425,1677.42494201,1669.58633423,1635.81173706,1645.69691467,1643.39953613,1649.59039307,1658.27952576,1478.75175476,1968.84431458,1893.99806214,1926.34396362,1872.37400818,1884.47961426,1885.36636352,1922.82878113,1905.00904846,1892.07218933,1908.79229736,1899.25991821,1911.85258484,1749.98745728,1656.02513122,1599.46447754,1598.14060974,1823.88272095,1755.02227783,1765.20896912,1759.25354004,1756.14120483
10,1927.73124695,1906.75920105,1920.94764709,1865.06626892,1953.74554443,1918.63743591,1914.32710266,1866.49472046,1863.81015015,1899.72602844,1829.29003906,1853.79841614,1885.58312988,1815.56022644,2092.39260864,2096.46603394,2151.30612183,1989.01843262,2089.91165161,2087.93151855,2124.74429321,2071.40252686,2059.38006592,2109.75598145,2076.72375488,2077.48052979,1913.72790527,1926.34680176,1871.45124817,1870.84732056,2074.69277954,1941.34327698,1931.1322937,1925.55973816,1980.41546631
11,1758.78437805,1741.59194946,1742.90649414,1699.00231934,1778.89689636,1754.5957489,1756.21621704,1758.78738403,1698.04521179,1728.0083313,1709.53320313,1721.42892456,1731.33103943,1550.57376098,2028.87718201,1953.71450806,2004.99955749,1841.72018432,1946.62322998,1945.34291077,1962.57757568,1958.54933166,1945.19775391,1980.57565307,1966.17262268,1982.05906677,1745.41824341,1784.23910523,1700.615448,1696.66818237,1910.25514221,1835.20375061,1757.72712707,1742.65498352,1830.81227112
12,613.482673645,617.345939636,620.496757507,606.88874054,651.925895691,616.237701416,621.0080719,636.816726685,612.733604431,616.970428467,613.859031677,614.993751526,618.042030334,626.965209961,950.454528809,954.00126648,962.223892212,938.670677185,950.353378296,940.838966369,964.779884339,940.925354004,951.855667114,958.82749939,944.023864746,961.117050171,654.81980896,661.953575134,617.885650635,629.954399109,751.358352661,717.338104248,720.121589661,719.04889679,726.958946228
