,pin average impedances 10044,cartridge_to_cartridge_pin_variation 10044,pin average impedances 00000004,cartridge_to_cartridge_pin_variation 00000004,pin average impedances 10045,cartridge_to_cartridge_pin_variation 10045,pin average impedances 47,cartridge_to_cartridge_pin_variation 47
0,1579.33290918,415.373542588,1882.8817215,44.1723262275,1658.18757248,41.5824622022,1812.01631165,21.0114046642
1,767.510484627,189.608103988,1130.21536891,15.6170756569,798.19735527,8.03007478669,913.619082642,7.82642057198
2,1315.70953642,327.213677348,1647.28710429,12.8466655514,1385.98197174,7.80478505681,1529.57656555,12.2589140053
3,1939.14616067,2.84321644787,2369.73744965,2.86113850209,1995.41577148,61.6068399621,2050.58432922,1.29517692144
4,1651.29825701,13.2807907939,1821.97301483,19.8980106877,1253.4073863,621.172873951,1756.50201416,26.3000147295
5,649.812885829,4.60364671323,984.466545741,7.21237304689,652.255964279,12.0276105118,755.441230774,15.4952699152
6,605.029918126,6.39980223547,913.075953802,8.06614416599,632.41182518,32.0357974506,704.065986633,15.2477440659
7,659.332870483,40.1929513643,957.027534485,7.5219261504,667.156574249,18.3997101132,755.934284973,18.0673939055
8,1573.72564588,14.0329414154,1853.12690608,34.0312669227,1598.89274216,20.0343998864,1728.1744751,24.2576351428
9,1643.0077046,48.1673861912,1905.93509547,24.3113727158,1650.90441895,61.7935217337,1771.90174255,26.2301476799
10,1887.2483684,38.3064846597,2085.54279327,37.6198581401,1895.59331894,24.8487622629,1970.62871094,55.4507472977
11,1723.55013275,53.2734003534,1959.70079803,43.1733507518,1731.73524475,35.8539413127,1815.33065491,60.4072815047
12,620.55475453,11.0573174423,951.506002426,8.62308985536,641.153358459,17.9319812133,726.965177918,12.627032648
13,1067.66135624,13.8658904494,1347.89660772,12.9904785429,1116.58961868,27.1373443284,1221.65413818,27.6392088672
14,561.209824698,14.3050903004,898.683584213,12.611336165,616.254901886,33.1446397948,680.881681824,24.709093523
15,600.158848899,15.3554413755,931.30588913,12.6965302285,657.743659973,34.0205530663,728.146626282,29.4334733317
16,1184.21572658,10.3399748631,1431.21836344,13.7348606977,1189.41902542,15.2003138745,1298.22023926,14.8146274423
17,658.495010921,14.0625773972,989.738562902,13.103635468,699.023351669,27.7534751391,780.898908997,21.1951735273
18,1055.56783731,10.5821006749,1357.23790995,13.3258061592,1078.94181442,14.8459864634,1186.57667847,15.9069772528
19,866.503876822,10.8636629093,1190.34774907,10.6479063389,896.259490967,17.5411737849,990.074884033,18.1071845521
20,463.786227363,13.9429334919,780.282745997,8.42609131313,483.584324837,15.8760107294,550.160473633,8.40401476547
21,539.28710883,13.6038374795,851.454632441,10.5857525175,560.084745407,16.7092791181,630.952139282,9.75041837569
22,1075.55183193,9.85687586624,1365.16571681,11.9453862374,1094.82894898,12.5134516164,1206.9649231,11.4266197083
23,1101.16656385,10.9964228698,1397.88263957,13.1683532957,1123.99363327,13.1278318768,1229.61739197,12.3439301619
24,509.947014945,11.4827505551,850.222604116,11.327328189,528.764033318,15.638799962,620.112115479,13.4659854822
25,1032.04261126,9.37475484599,1331.74678294,10.5982547001,1036.75367737,10.2493100002,1164.17504272,11.03610445
26,432.028687068,11.9752623282,764.263950984,9.77699603713,454.307351112,16.8853212588,524.657835388,9.06025161475
27,463.655443737,13.087866516,798.539029439,11.4753710656,491.782151222,16.8575244367,575.290501404,14.2084034401
28,449.553734371,8.65557210986,801.074869792,9.74998510195,465.529327393,11.2736597342,557.496974182,15.1171049222
29,468.167280197,10.3925422252,806.628337224,11.141304743,489.362407684,15.1764585047,562.89331665,12.0999659827
30,426.623758044,10.1038425587,768.19480896,8.83663519826,446.852024078,11.977984924,538.451966858,16.8925252268
31,430.643965585,9.87878358649,775.100594838,10.3074627733,453.835374832,13.6747815903,543.932348633,14.748918144
32,616.14428057,6.89883253931,954.391897837,10.1574805237,635.014341354,12.0217091573,743.943742371,16.730827571
33,454.338371822,8.79589988227,812.504991531,10.2942064851,473.679030418,11.936672955,571.233079529,14.5974877372
34,533.002997262,7.30219592278,881.182348887,8.50411169611,560.257778168,14.5521534509,662.334498596,14.7150824149
35,420.905091422,8.50257993172,789.989138921,9.97389874335,447.020624161,11.1381999369,545.345198059,15.6457808176
36,598.281060355,6.88633396137,951.772993724,9.08387496593,623.386732101,15.5487495624,739.269290161,12.9690686898
37,483.037093571,7.49194312875,829.708185196,9.79531380152,491.359539986,9.04609589282,587.388406372,11.7416710165
38,564.521274022,7.47833308339,892.589653651,8.82034877773,597.91295433,13.4177230208,659.354695129,8.62882236204
39,535.903177534,7.12264571359,870.900301615,9.4238210626,560.310003281,12.6975125937,634.555432129,11.5672065545
40,425.770593098,8.04716525643,778.807074229,8.05874196253,441.432671547,7.95767380435,539.342654419,8.9765863543
41,432.094266347,7.14326715104,799.065134048,8.45193648383,458.161242485,10.5152055581,562.539526367,9.74890370447
42,395.439377376,7.67569713597,749.012287776,6.52450157024,418.263212204,10.9482859441,512.71627655,10.1055825816
43,402.611311231,7.62289447722,763.046608607,6.82478021084,425.133612633,10.7359913678,524.523377228,11.369045312
44,489.424612045,9.93794314812,832.576945623,10.8841548677,508.888175011,15.1247853574,599.27015686,4.65568168111
45,443.067613602,9.8381506598,797.472625097,10.089909942,462.259542465,10.9522530398,557.176861572,8.43040058668
46,556.215904236,10.556075232,930.874214808,9.98065985199,581.101644516,19.8028010273,699.563865662,7.89103346742
47,400.890384129,8.89834155011,762.118206024,9.88972069274,424.74066639,13.8403251561,515.730886841,5.90051502523
48,639.57069179,12.7555709125,975.014291763,11.8021293175,661.248298645,20.3382017703,766.239033508,6.2120636433
49,510.287598746,11.8028119823,853.683245341,10.9305607033,525.833114624,13.6165236547,612.516159058,6.71035889598
50,418.82025419,10.7002759416,772.222099304,9.50181551473,440.630642891,15.4425639685,521.861618805,5.37642068068
51,599.938050406,10.9434284105,961.646190007,10.9275574257,624.928632736,16.7573374417,727.343696594,8.83842853347
52,645.336585454,11.6421910662,963.364615758,10.5622187316,665.211116791,21.0892802336,745.664961243,7.55580773665
53,657.160524641,12.2226560622,991.536265055,12.3915225141,683.095384598,22.0678300445,785.381278992,10.2079262885
54,536.714065007,11.8049799281,871.025922139,9.24866952254,560.917020798,20.0664686668,636.100338745,4.92279637517
55,488.009537833,12.7777633072,819.987226486,9.25137289371,527.665639877,30.0744567129,587.130276489,6.69409266544
56,496.787346159,21.1481047271,857.232350032,15.3901725712,512.334592819,19.5698321344,640.209332276,30.6928311573
57,619.559749603,11.7406367041,978.596840541,12.5417008451,640.49184227,20.1450629785,760.369644165,10.2798791622
58,441.007581711,12.0008339889,806.265719732,9.43021326088,459.978709221,17.2607982539,570.437023926,6.32329458369
59,434.777935028,10.2896510085,804.119855245,10.2759370645,456.514249802,18.7276717952,574.70615387,20.82210701
60,449.003227779,13.2182978248,797.157853444,8.64501257625,466.955026627,17.7888406434,554.519561768,6.08361328087
61,438.430212634,100.902458448,808.355335871,8.23081666543,469.157105446,18.9758231998,573.340133667,6.63412227127
62,434.391579764,16.5225027174,794.543100993,8.16777804456,452.774244308,18.3068219792,549.365473938,9.37476862565
63,425.980099269,22.052177846,785.497748693,8.31230497562,441.935487747,18.8146938623,541.018096924,8.72452228813
64,551.026264736,12.4952392105,876.831679662,9.50765319654,563.685152054,16.6312649942,654.272921753,11.3273830877
65,476.658442633,10.7833449003,816.960481008,10.3242005482,491.788212776,17.1032173232,584.073789978,10.018039526
66,450.769983564,11.563376857,799.934894562,10.1125808934,467.623345375,17.0627847284,557.478517151,7.05859951173
67,437.571498326,12.0468343601,794.194762548,8.2926154965,454.984592438,13.9060503232,553.436534119,7.9348833181
68,519.181414195,11.9488077944,852.326709112,10.8666514522,534.055625916,11.3596428957,621.904672241,4.93376817239
69,502.960686002,12.0899579954,842.793690999,12.170443655,518.281793594,14.6216915518,607.252658081,7.66318792634
70,654.990364075,29.8810076874,984.060031891,10.9184144848,668.591321945,13.9216676964,762.042634583,10.3005315996
71,533.661676134,18.1185830081,879.276954015,10.3911384065,545.194038391,14.8020659849,638.854797363,8.06489845891
72,676.511011941,11.9879322751,1002.1013546,13.6879342679,680.888019562,6.25910187993,774.722232056,10.7758171768
73,504.46317373,12.2072488981,850.70796903,12.0522028915,516.410199165,8.65029600951,609.431066895,7.37797222375
74,634.678064619,10.5905459565,967.692997615,12.1042977067,659.628503799,7.74736429946,746.665184021,13.6770149435
75,453.630553654,12.9046610022,799.650170008,11.8159220029,472.449912071,7.89942604704,556.825286865,8.41314072527
76,566.263887678,12.9010841992,888.398996989,13.8215609427,579.343120575,7.04205686715,657.289756775,10.4851234857
77,762.901535579,17.90845378,1061.17515437,18.598462479,763.702651978,9.10526959684,864.481173706,14.8668847179
78,486.226564135,14.4537867731,827.995253881,13.010367399,496.735667229,3.30086442977,584.484700012,9.35086499114
79,440.981797423,87.7484447446,812.974654516,12.6787234438,480.542662621,3.57014339145,569.927082825,9.00254290268
80,606.588443211,11.8026220376,909.828269323,14.80712988,620.897680283,5.79530069404,697.679521179,13.6246492267
81,576.088869367,12.8280322897,881.327306747,14.4946517634,589.364963532,5.16640649417,664.457963562,11.5124613446
82,112.993398394,1.50411102883,443.558249473,2.08720025522,112.290381193,1.05445270169,162.096944809,1.67369037309
83,115.804071494,1.23790595892,452.173048019,2.38262279292,114.8907969,0.998405914916,170.788645172,0.716982715383
84,737.808509827,13.4616301335,1015.84298197,14.2977968665,745.578353882,14.4096584159,836.036784363,14.5821341259
85,557.439192636,11.4936355916,866.184885661,11.4805452519,570.793912888,7.76324439493,649.361006165,11.7102825253
86,502.01357242,13.6593002459,824.298672994,10.3892497581,521.890546799,9.74994706218,594.771229553,10.4703129263
87,648.626756941,12.5102625345,958.239748637,9.99289099472,670.479078293,13.2265414505,755.520553589,16.0738187391
88,560.138054439,12.7559234261,871.885363261,9.74970794666,569.488298416,15.0757139821,651.741349793,8.12143558456
89,723.59009334,12.4106349847,1015.08092817,13.5781917145,729.81375885,17.1945027596,831.862225342,11.0547985083
90,679.831352779,12.8017526496,976.482254664,13.992651797,694.647460937,20.5246637796,781.815118408,13.4817689122
91,704.375639234,13.0734572451,995.107018153,13.8970680195,716.431367874,16.8076264497,808.419563293,11.4005769886
92,957.922937666,13.1359574222,1226.08131409,13.6387189493,951.092250824,17.0257375819,1070.74778137,12.2797959867
93,704.797363281,11.4100989951,1011.27211825,12.9171233829,714.934400558,19.6892693438,815.194918823,10.5725661128
94,518.399601528,12.9591326901,832.589672724,9.66503717622,530.680887222,16.2250646601,620.975810242,11.0402894219
95,136.281998907,31.0698766967,466.636155764,2.27640494113,125.668014526,1.91123235141,176.585205841,1.4838937446
96,973.647126879,11.6759532251,1214.58497493,13.3883536901,971.1015625,17.318646864,1077.12590942,12.7035594372
97,747.797264099,11.8837103793,1031.72821935,12.8627430126,755.592405319,14.2964458305,854.192507935,11.7717558146
98,625.977280753,11.1432450125,936.749657313,11.5256107009,639.322984695,10.3968325553,732.276223755,8.70727573977
99,133.02492966,1.18184097205,471.721015294,2.30654416941,130.708007336,1.44381021644,180.773625565,1.47420988183
100,904.013017382,13.1340284351,1157.7675794,12.4587260896,905.415216446,8.62162868524,1001.29555206,12.0669040412
101,699.299562727,11.1081167073,993.320283254,11.3614299498,710.138341904,8.74392582968,800.468130493,9.98823896188
102,805.1262643,12.3621102363,1092.45291392,11.5358985023,815.554252625,10.1394522237,910.085420227,12.0118293099
103,928.538458143,11.6235766226,1200.20090993,12.61794497,933.602321625,10.575331789,1043.53440552,12.8754679843
104,1076.15992492,43.1280516541,1313.01409149,25.6233044161,1050.56621933,23.8631908695,1152.32303772,12.5380033338
105,1010.78810501,9.106646695,1255.52356974,12.7275163667,999.41434288,10.4619569044,1117.82643433,12.1363949058
106,1182.76922607,14.4998211951,1418.93444443,15.2673838118,1162.67324448,14.26598522,1275.19587097,18.6958658178
107,860.387361254,12.3459546084,1136.92012787,11.9568455309,863.773458481,8.55105516998,957.196212769,12.9756581536
