User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
kkay,2017-11-15 10:11:00.452499,0:00:35.023792,Completed,BAE-DT123,00000004,2515,X04847, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-11-15 10:11:04,0:00:03,1856.40002441,1865.40124512,1859.40014648,1864.60205078,1863.80310059,1862.00964355,1869.81091309,1862.6373291
Pin Impedance,2,2017-11-15 10:11:04,0:00:04,1117.0246582,1118.70678711,1122.63977051,1121.18554688,1116.40893555,1121.51550293,1116.35119629,1120.61987305
Pin Impedance,3,2017-11-15 10:11:04,0:00:04,1642.79187012,1641.54870605,1645.4543457,1642.63598633,1643.57299805,1643.26660156,1642.79187012,1643.41650391
Pin Impedance,4,2017-11-15 10:11:05,0:00:04,2366.85717773,2369.76831055,2367.70996094,2369.42578125,2368.73852539,2365.99438477,2367.5390625,2369.76831055
Pin Impedance,5,2017-11-15 10:11:05,0:00:04,1813.02233887,1814.5859375,1803.96704102,1816.61767578,1808.4921875,1814.43237305,1814.89526367,1810.36816406
Pin Impedance,6,2017-11-15 10:11:05,0:00:05,970.468933105,971.30480957,974.624023438,975.174316406,972.469543457,975.725341797,973.814147949,972.977416992
Pin Impedance,7,2017-11-15 10:11:05,0:00:05,902.805603027,899.762207031,904.756896973,901.714477539,900.837402344,899.802734375,902.54083252,906.499328613
Pin Impedance,8,2017-11-15 10:11:06,0:00:05,950.221557617,948.614257812,943.823059082,946.00213623,946.620300293,945.432189941,947.473510742,949.80682373
Pin Impedance,9,2017-11-15 10:11:06,0:00:06,1839.29467773,1837.25878906,1837.93908691,1838.51782227,1837.70776367,1839.00219727,1843.31896973,1831.15405273
Pin Impedance,10,2017-11-15 10:11:06,0:00:06,1883.0065918,1885.79980469,1885.34155273,1890.64331055,1883.93554688,1889.40966797,1884.71435547,1887.22546387
Pin Impedance,11,2017-11-15 10:11:07,0:00:06,2012.74072266,2009.15026855,2009.15026855,2004.73840332,2008.88049316,2005.81555176,2007.7833252,2006.64526367
Pin Impedance,12,2017-11-15 10:11:07,0:00:06,1910.02612305,1913.83520508,1912.82409668,1915.21069336,1915.23388672,1909.40881348,1914.43041992,1907.43652344
Pin Impedance,13,2017-11-15 10:11:07,0:00:07,937.800109863,937.213439941,941.949584961,941.890136719,934.789794922,940.818786621,933.90045166,935.873901367
Pin Impedance,14,2017-11-15 10:11:07,0:00:07,1347.04309082,1344.22509766,1348.45727539,1342.81091309,1346.36767578,1346.35803223,1344.95349121,1347.75219727
Pin Impedance,15,2017-11-15 10:11:08,0:00:07,888.642211914,885.871887207,883.679260254,884.809570312,885.322509766,885.063293457,884.809570312,885.900695801
Pin Impedance,16,2017-11-15 10:11:08,0:00:07,920.609558105,921.235046387,919.528686523,917.458435059,917.882873535,919.915771484,919.021789551,919.78527832
Pin Impedance,17,2017-11-15 10:11:08,0:00:08,1424.84985352,1425.58410645,1429.13989258,1426.27380371,1425.5447998,1422.74377441,1422.00598145,1428.39001465
Pin Impedance,18,2017-11-15 10:11:08,0:00:08,976.844421387,978.515686035,975.198425293,977.419555664,978.491210938,972.954284668,977.382751465,982.654541016
Pin Impedance,19,2017-11-15 10:11:09,0:00:08,1348.51953125,1348.48400879,1349.17163086,1349.89819336,1352.03552246,1344.22509766,1349.20715332,1344.96472168
Pin Impedance,20,2017-11-15 10:11:09,0:00:09,1176.34387207,1180.20715332,1183.17578125,1179.39733887,1177.45361328,1180.13769531,1174.8536377,1177.01062012
Pin Impedance,21,2017-11-15 10:11:09,0:00:09,764.430480957,766.734619141,768.003234863,765.95690918,769.06439209,766.171020508,765.375732422,767.422302246
Pin Impedance,22,2017-11-15 10:11:10,0:00:09,843.664611816,842.911621094,836.682128906,838.460510254,842.911621094,834.642456055,838.370422363,836.455627441
