User,Start Time,Elapsed Time,Status,Computer,Instrument,Cartridge Model,Cartridge Serial,Oil Lot Number,Interface,Chip,Software
kkay,2017-10-30 11:52:24.014148,0:00:35.050399,Completed,BAE-DT132,10044,2515,X04927, blue,108-CHANNEL,108-CONNECTOR,v2.0.0
Pin Impedance,1,2017-10-30 11:52:27,0:00:03,1705.49255371,1704.09887695,1709.6739502,1706.06970215,1705.01525879,1701.64916992,1716.30529785,1703.62109375
Pin Impedance,2,2017-10-30 11:52:28,0:00:04,825.307800293,831.617675781,830.291503906,834.358459473,831.880981445,830.042175293,834.137268066,830.12286377
Pin Impedance,3,2017-10-30 11:52:28,0:00:04,1416.53137207,1421.57556152,1418.74658203,1413.28625488,1414.31604004,1415.96679688,1416.01306152,1416.32336426
Pin Impedance,4,2017-10-30 11:52:28,0:00:04,1943.20153809,1936.97314453,1944.26855469,1942.04345703,1939.42492676,1936.52600098,1942.80236816,1937.90527344
Pin Impedance,5,2017-10-30 11:52:28,0:00:04,1636.73730469,1636.80969238,1629.7512207,1642.76379395,1631.5201416,1637.25683594,1631.5201416,1634.82629395
Pin Impedance,6,2017-10-30 11:52:29,0:00:05,653.620666504,660.6640625,657.435180664,655.446411133,649.60369873,650.201477051,657.607788086,656.843994141
Pin Impedance,7,2017-10-30 11:52:29,0:00:05,612.45489502,606.139404297,613.294372559,611.138305664,608.615661621,608.503051758,616.587402344,605.022338867
Pin Impedance,8,2017-10-30 11:52:29,0:00:05,655.8125,1860.14978027,652.418579102,651.423034668,656.441894531,652.835327148,647.340698242,652.672180176
Pin Impedance,9,2017-10-30 11:52:29,0:00:05,1559.57946777,1568.87988281,1561.80310059,1565.04211426,1561.22583008,1565.04211426,1560.39257812,1564.80957031
Pin Impedance,10,2017-10-30 11:52:30,0:00:06,1480.68432617,1473.86096191,1484.04846191,1473.86096191,1479.89086914,1476.05725098,1485.92663574,1475.68457031
Pin Impedance,11,2017-10-30 11:52:30,0:00:06,1807.6796875,1812.56994629,1821.27783203,1817.31945801,1815.03088379,1816.16882324,1815.89257812,1818.54260254
Pin Impedance,12,2017-10-30 11:52:30,0:00:06,1552.80651855,1553.27172852,1551.41552734,1548.94702148,1545.28479004,1551.47705078,1549.97192383,1551.41552734
Pin Impedance,13,2017-10-30 11:52:31,0:00:07,629.64831543,627.538818359,629.903137207,624.606262207,627.2734375,622.454040527,630.441101074,623.856567383
Pin Impedance,14,2017-10-30 11:52:31,0:00:07,1062.92138672,1065.65283203,1069.22631836,1060.09899902,1067.81506348,1069.31799316,1064.99243164,1072.89233398
Pin Impedance,15,2017-10-30 11:52:31,0:00:07,556.771057129,560.532775879,558.685974121,559.91607666,549.477050781,559.65435791,555.817443848,562.281982422
Pin Impedance,16,2017-10-30 11:52:31,0:00:07,585.813110352,598.619262695,594.557006836,595.026062012,592.078552246,597.52154541,595.490539551,597.378417969
Pin Impedance,17,2017-10-30 11:52:32,0:00:08,1191.37060547,1186.90905762,1195.7734375,1184.08654785,1191.1427002,1183.33508301,1192.08215332,1189.1652832
Pin Impedance,18,2017-10-30 11:52:32,0:00:08,656.805175781,658.204345703,660.231018066,658.204345703,660.823730469,661.006835938,658.833068848,662.40246582
Pin Impedance,19,2017-10-30 11:52:32,0:00:08,1064.54309082,1060.27587891,1057.72631836,1055.82006836,1056.24328613,1053.23547363,1058.91455078,1056.1842041
Pin Impedance,20,2017-10-30 11:52:32,0:00:08,862.300415039,861.629272461,867.500427246,860.36328125,869.580383301,862.519592285,864.754882812,857.464294434
Pin Impedance,21,2017-10-30 11:52:33,0:00:09,467.566040039,464.174530029,473.925109863,464.811798096,465.136535645,465.241882324,467.33392334,465.86907959
Pin Impedance,22,2017-10-30 11:52:33,0:00:09,553.839355469,549.430603027,544.297729492,549.647155762,545.319152832,545.550170898,548.839660645,546.71472168
Pin Impedance,23,2017-10-30 11:52:33,0:00:09,1089.59851074,1080.25646973,1088.83239746,1081.27197266,1084.34545898,1085.77160645,1086.01477051,1085.2487793
Pin Impedance,24,2017-10-30 11:52:34,0:00:10,1111.20166016,1110.57189941,1110.91174316,1108.24230957,1111.05578613,1111.68701172,1109.22180176,1112.27697754
Pin Impedance,25,2017-10-30 11:52:34,0:00:10,521.674255371,517.000976562,518.811157227,525.800354004,511.242614746,522.409790039,516.601379395,522.115905762
Pin Impedance,26,2017-10-30 11:52:34,0:00:10,1038.15844727,1037.24731445,1040.19995117,1034.29589844,1040.48071289,1037.11132812,1041.11340332,1039.21704102
Pin Impedance,27,2017-10-30 11:52:34,0:00:10,433.401672363,436.807739258,436.426391602,439.802215576,431.004638672,433.626556396,436.601654053,440.620025635
Pin Impedance,28,2017-10-30 11:52:35,0:00:11,465.725250244,473.261016846,471.42868042,469.490142822,470.893829346,469.052246094,464.617034912,472.271118164
Pin Impedance,29,2017-10-30 11:52:35,0:00:11,452.462158203,450.924591064,452.792449951,450.005554199,458.530273438,449.529754639,457.673461914,450.344299316
Pin Impedance,30,2017-10-30 11:52:35,0:00:11,474.936828613,477.268280029,480.104156494,483.202850342,481.428070068,482.125488281,484.232391357,478.204986572
Pin Impedance,31,2017-10-30 11:52:35,0:00:11,436.975982666,431.51940918,433.073883057,443.269683838,424.340667725,440.821960449,433.702667236,433.383209229
Pin Impedance,32,2017-10-30 11:52:36,0:00:12,439.300567627,437.639129639,437.772766113,438.91229248,437.772766113,439.068328857,443.007904053,438.014831543
